key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/titles						
3k_dlc05_ancillary_title_attendant_01	3k_dlc05_ceo_node_wealth_01	0	Attendant	Granted at campaign start	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_men_of_merit.png	
3k_dlc05_ancillary_title_blood_dragon_01	3k_main_ancillary_title_blood_dragon	0	Blood Dragon	Win a battle where one of your generals personally kills 600 or more soldiers	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_dragon_warriors.png	
3k_dlc05_ancillary_title_blood_dragon_locked_00	empty_effects	0	Blood Dragon	Win a battle where one of your generals personally kills 600 or more soldiers	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_dragon_warriors.png	
3k_dlc05_ancillary_title_chief_of_records_01	3k_dlc05_ceo_node_wealth_02	0	Chief of Records	Granted at campaign start	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_men_of_merit.png	
3k_dlc05_ancillary_title_coiled_dragon_01	3k_main_ancillary_title_coiled_dragon	0	Coiled Dragon	Have a general win two duels in one battle	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_dragon_warriors.png	
3k_dlc05_ancillary_title_coiled_dragon_locked_00	empty_effects	0	Coiled Dragon	Have a general win two duels in one battle	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_dragon_warriors.png	
3k_dlc05_ancillary_title_director_of_astronomy_01	3k_main_ancillary_title_director_of_astronomy	0	Director of Astronomy	Win 3 battles with a character present who has the 'Superstitious' trait	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_incorrupt_officials.png	
3k_dlc05_ancillary_title_director_of_astronomy_locked_00	empty_effects	0	Director of Astronomy	Win 3 battles with a character present who has the 'Superstitious' trait	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_incorrupt_officials.png	
3k_dlc05_ancillary_title_director_of_retainers_who_scales_the_city_wall_01	3k_main_ancillary_title_director_of_retainers_who_scales_the_city_wall	0	Commander Who Scales City Walls	Win 10 siege battles as the attacker	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
3k_dlc05_ancillary_title_director_of_retainers_who_scales_the_city_wall_locked_00	empty_effects	0	Commander Who Scales City Walls	Win 10 siege battles as the attacker	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
3k_dlc05_ancillary_title_divine_mathematician_01	3k_main_ancillary_title_divine_mathematician	0	Attending Secretary	Have 20,000 gold in treasury	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_incorrupt_officials.png	
3k_dlc05_ancillary_title_divine_mathematician_locked_00	empty_effects	0	Attending Secretary	Have 20,000 gold in treasury	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_incorrupt_officials.png	
3k_dlc05_ancillary_title_divine_physician_01	3k_main_ancillary_title_court_physician	0	Doctor Who Prevents Disaster	Have 5 characters healed after suffering wounds or win a duel with a character who has the 'Scarred' trait	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_incorrupt_officials.png	
3k_dlc05_ancillary_title_divine_physician_locked_00	empty_effects	0	Doctor Who Prevents Disaster	Have 5 characters healed after suffering wounds or win a duel with a character who has the 'Scarred' trait	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_incorrupt_officials.png	
3k_dlc05_ancillary_title_earth_dragon_01	3k_main_ancillary_title_earth_dragon	0	Earth Dragon	Win a battle where you and your allies lose 200 or less men (enemy must have at least 8 units)	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_dragon_warriors.png	
3k_dlc05_ancillary_title_earth_dragon_locked_00	empty_effects	0	Earth Dragon	Win a battle where you and your allies lose 200 or less men (enemy must have at least 8 units)	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_dragon_warriors.png	
3k_dlc05_ancillary_title_flying_swallow_general_01	3k_main_ancillary_title_flying_swallow_general	0	Flying Swallow General	Win an ambush battle	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_infamous_bandits.png	
3k_dlc05_ancillary_title_flying_swallow_general_locked_00	empty_effects	0	Flying Swallow General	Win an ambush battle	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_infamous_bandits.png	
3k_dlc05_ancillary_title_general_in_chief_01	3k_dlc05_ceo_node_wealth_03	0	General Commander	Granted at campaign start	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_men_of_merit.png	
3k_dlc05_ancillary_title_general_of_a_hundred_victories_01	3k_main_ancillary_title_general_of_a_hundred_victories	0	General Who Exterminates Adversaries	Win 100 battles	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
3k_dlc05_ancillary_title_general_of_a_hundred_victories_locked_00	empty_effects	0	General Who Exterminates Adversaries	Win 100 battles	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
3k_dlc05_ancillary_title_general_of_chariots_and_cavalry_01	3k_main_ancillary_title_general_of_chariots_and_cavalry	0	General of Chariots and Cavalry	Win 10 battles with generals who have 6 cavalry units in their retinues	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
3k_dlc05_ancillary_title_general_of_chariots_and_cavalry_locked_00	empty_effects	0	General of Chariots and Cavalry	Win 10 battles with generals who have 6 cavalry units in their retinues	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
3k_dlc05_ancillary_title_general_of_flying_cavalry_01	3k_dlc05_ceo_node_wealth_03	0	General-in-Chief	Granted at campaign start	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_men_of_merit.png	
3k_dlc05_ancillary_title_general_of_heavenly_vision_01	3k_main_ancillary_title_general_of_heavenly_vision	0	General of Unfailing Aim	Win 10 battles with generals that have 6 archers units in their retinues	UI/skins/default/3k_dlc05_ranks_and_titles_item_set_protectors_of_the_army.png	
