key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/accessory						
3k_dlc04_ancillary_accessory_calligraphy_set_unique	3k_dlc04_ancillary_accessory_calligraphy_set_unique	0	Calligraphy Set	Well-formed prose has a beauty all its own and confers authority upon its author.	accessories/3k_dlc04_ancillary_accessory_calligraphy_set_unique.png	
3k_dlc04_ancillary_accessory_nushe_bifa_unique	3k_dlc04_ancillary_accessory_nushe_bifa_unique	0	Nushe Bifa	"The whole assembly is called ji, for it is just as ingenious as the loom."	accessories/3k_dlc04_ancillary_accessory_nushe_bifa_unique.png	
3k_dlc04_ancillary_accessory_religious_bell_unique	3k_dlc04_ancillary_accessory_religious_bell_unique	0	Religious Bell	The bell calls the faithful to peaceful contemplation of the world and their place in it.	accessories/3k_dlc04_ancillary_accessory_religious_bell_unique.png	
3k_dlc04_ancillary_accessory_zhang_liang_unique	3k_dlc04_ancillary_accessory_zhang_liang_unique	0	Zhang Liang's Garland	These beads are used to count recitations and breaths, that their wearer may find harmony in the Way.	accessories/3k_dlc04_ancillary_accessory_zhang_liang_unique.png	
3k_dlc04_ancillary_weapon_bow_huangfu_song_unique	3k_dlc04_ancillary_weapon_bow_huangfu_song_unique	0	Huangfu Song's Bow	The bow that Huangfu Song wields may be an antique, but it remains a stunning example of the form, and will greatly assist him in putting down the Yellow Turban scum.	weapons/3k_dlc04_ancillary_weapon_bow_huangfu_song_unique.png	
3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique	3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique	0	Prince Liu Chong's Crossbow	The prince is highly skilled in the use of the crossbow, to the extent where he has authored the 'Nushe Bifa', an instructional treatise.	weapons/3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique.png	
3k_dlc06_ancillary_accessory_flying_daggers	3k_dlc06_ancillary_accessory_flying_daggers	0	Flying Daggers	A fan of blades, a spash of blood, an enemy falls once more.	accessories/3k_dlc06_ancillary_accessory_flying_daggers.png	
3k_dlc06_ancillary_accessory_malaria_cure	3k_dlc06_ancillary_accessory_malaria_cure	0	Garlic-leaved Fragrance	It is said that grinding up this herb will cure many of the sicknesses which plague visitors to the south.	accessories/3k_dlc06_ancillary_accessory_malaria_cure.png	
3k_dlc06_ancillary_accessory_mulus_bell_unique	3k_dlc06_ancillary_accessory_mulus_bell_unique	0	Mulu's Bell	The sound of the bell, like a peal of thunder, strikes fear into the hearts of the Nanmans' enemies.	accessories/3k_dlc04_ancillary_accessory_religious_bell_unique.png	
3k_dlc06_ancillary_accessory_tribute_chest_diplomacy_extraordinary	3k_dlc06_ancillary_accessory_tribute_chest_diplomacy_extraordinary	0	Diplomat's Chest	A chest for a diplomat, filled with treatises and writings.	chests/3k_dlc06_basic_tribute_chest.png	
