campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/data__						
		0	3k_dlc04_skill_healer_tranquillity		x	0
		0	3k_dlc04_skill_special_ability_metal		x	0
		0	3k_dlc04_skill_special_ability_metal_alt_1		x	0
		1	3k_dlc04_skill_special_ability_catch_the_blade		x	0
		1	3k_dlc04_skill_special_ability_fire_fire_bomb		x	0
		1	3k_dlc04_skill_special_ability_lord_of_heaven		x	0
		1	3k_dlc04_skill_special_ability_lord_of_the_land		x	0
		1	3k_dlc04_skill_special_ability_lord_of_the_people		x	0
		1	3k_dlc04_skill_special_ability_turning_the_tides		x	0
		1	3k_dlc04_skill_special_ability_water_foresight		x	0
		1	3k_dlc04_skill_special_ability_water_from_the_ashes		x	0
		1	3k_dlc04_skill_special_ability_water_heavenly_grace		x	0
		1	3k_dlc04_skill_special_ability_water_hidden_strike		x	0
		1	3k_dlc04_skill_special_ability_way_of_great_peace		x	0
		1	3k_dlc04_skill_special_ability_way_of_war		x	0
		1	3k_dlc04_skill_special_ability_way_of_wind		x	0
		1	3k_dlc04_skill_special_ability_why_the_cold_feet		x	0
		1	3k_dlc05_skill_mastery_earth_1_humanity_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_earth_3_obfuscation_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_earth_4_mutability_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_earth_5_restlessness_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_fire_4_rapacity_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_fire_5_shamelessness_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_metal_2_unpredictability_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_metal_4_evasiveness_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_metal_5_stealth_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_water_strategist_3_ruthlessness_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_water_strategist_4_villainy_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_water_strategist_5_craft_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_wood_2_gluttony_mlvl_3		x	0
		1	3k_dlc05_skill_mastery_wood_4_treachery_mlvl_3		x	0
		1	3k_dlc05_skill_special_ability_earth_into_the_breach		x	0
		1	3k_dlc05_skill_special_ability_earth_qiao_sisters		x	0
		1	3k_dlc05_skill_special_ability_fire_scattering_blows		x	0
		1	3k_dlc05_skill_special_ability_fire_targeted_strike		x	0
		1	3k_dlc05_skill_special_ability_fire_undying_vow		x	0
		1	3k_dlc05_skill_special_ability_metal_exemplar		x	0
		1	3k_dlc05_skill_special_ability_metal_poison_volley		x	0
		1	3k_dlc05_skill_special_ability_metal_tactical_withdrawal		x	0
		1	3k_dlc05_skill_special_ability_water_analyse_weakness		x	0
		1	3k_dlc05_skill_special_ability_water_stalker		x	0
		1	3k_dlc05_skill_special_ability_water_two_zhangs		x	0
		1	3k_dlc05_skill_special_ability_wood_mending		x	0
		1	3k_dlc06_skill_nanman_authority		x	0
		1	3k_dlc06_skill_nanman_cunning		x	0
		1	3k_dlc06_skill_nanman_expertise		x	0
		1	3k_dlc06_skill_nanman_instinct		x	0
		1	3k_dlc06_skill_nanman_resolve		x	0
		1	3k_dlc06_skill_special_ability_blood_price		x	0
		1	3k_dlc06_skill_special_ability_blow_for_blow		x	0
		1	3k_dlc06_skill_special_ability_crippling_blow		x	0
		1	3k_dlc06_skill_special_ability_defiant_cry		x	0
		1	3k_dlc06_skill_special_ability_desperate_rage		x	0
		1	3k_dlc06_skill_special_ability_fury		x	0
