faction	active_years_start	active_years_end	sort_order	playstyle
#frontend_factions_tables;4;db/frontend_factions_tables/gaoganresource				
3k_main_faction_gao_gan	190	207	99	ironic_faction_gao_gan
3k_dlc04_faction_liang_rebels	182	217	100	ironic_faction_song_jian
3k_main_faction_han_sui	184	215	101	ironic_faction_han_sui
ironic_faction_xiongnu_tribes	160	220	102	ironic_faction_xiongnu_tribes
ironic_faction_wuhuan_tribes	160	220	103	ironic_faction_wuhuan_tribes
3k_dlc05_faction_sun_ce	190	200	104	3k_dlc05_faction_sun_ce
3k_main_faction_liu_yu	190	200	105	3k_main_faction_liu_yu
3k_main_faction_wang_kuang	190	200	106	3k_main_faction_wang_kuang
3k_main_faction_zhang_yang	190	200	107	3k_main_faction_zhang_yang
3k_dlc05_faction_yang_feng	190	200	108	3k_dlc05_faction_yang_feng
3k_main_faction_gongsun_du	190	200	109	3k_main_faction_gongsun_du
3k_main_faction_liu_dai	190	200	110	3k_main_faction_liu_dai
3k_dlc04_faction_ying_shao	190	200	111	3k_dlc04_faction_ying_shao
3k_dlc04_faction_chen_gui	190	200	112	3k_dlc04_faction_chen_gui
3k_main_faction_zhai_rong	190	200	113	3k_main_faction_zhai_rong
3k_main_faction_zhang_chao	190	200	114	3k_main_faction_zhang_chao
ironic_faction_chen_wen	190	200	115	ironic_faction_chen_wen
ironic_faction_bian_rang	190	200	116	ironic_faction_bian_rang
3k_dlc04_faction_lu_kang	190	200	117	3k_dlc04_faction_lu_kang
3k_main_faction_zhang_lu	190	200	118	3k_main_faction_zhang_lu
3k_main_faction_jia_long	190	200	119	3k_main_faction_jia_long
3k_main_faction_liu_yao	190	200	120	3k_main_faction_liu_yao
3k_dlc05_faction_sheng_xian	190	200	121	3k_dlc05_faction_sheng_xian
3k_main_faction_wang_lang	190	200	122	3k_main_faction_wang_lang
ironic_faction_zhu_hao	190	200	123	ironic_faction_zhu_hao
3k_dlc05_faction_hua_xin	190	200	124	3k_dlc05_faction_hua_xin
ironic_faction_zhuge_xuan	190	200	125	ironic_faction_zhuge_xuan
ironic_faction_liu_pan	190	200	126	ironic_faction_liu_pan
ironic_faction_zhang_xian	190	200	127	ironic_faction_zhang_xian
ironic_faction_zhang_jin	190	200	128	ironic_faction_zhang_jin
3k_dlc05_faction_shi_huang	190	200	129	3k_dlc05_faction_shi_huang
ironic_faction_gan_ning	190	200	130	ironic_faction_gan_ning
3k_main_faction_han_empire	100	220	131	3k_main_faction_han_empire
3k_main_faction_huang_zu	190	200	132	3k_main_faction_huang_zu
3k_main_faction_cai_mao	190	200	133	3k_main_faction_cai_mao
3k_main_faction_kong_zhou	190	200	134	3k_main_faction_kong_zhou
3k_main_faction_yellow_turban_generic	190	200	135	3k_main_faction_yellow_turban_generic
3k_dlc05_faction_zhu_fu	190	200	136	3k_dlc05_faction_zhu_fu
3k_main_faction_yulin	190	200	137	3k_main_faction_yulin
3k_main_faction_gaoliang	190	200	138	3k_main_faction_gaoliang
3k_main_faction_han_fu	190	200	139	3k_main_faction_han_fu
ironic_faction_goguryeo	190	200	140	ironic_faction_goguryeo
ironic_faction_bakaja	190	200	141	ironic_faction_bakaja
ironic_faction_shitla	190	200	142	ironic_faction_shitla
ironic_faction_xianbei_kuitou	190	200	143	ironic_faction_xianbei_kuitou
ironic_faction_xianbei_tuoba	190	200	144	ironic_faction_xianbei_tuoba
ironic_faction_di_tribes	190	200	145	ironic_faction_di_tribes
ironic_faction_ma_ai	190	200	146	ironic_faction_ma_ai
ironic_faction_huang_clan	190	200	147	ironic_faction_huang_clan
ironic_faction_zhang_jin_border	190	200	148	ironic_faction_zhang_jin_border
3k_dlc06_faction_jiuzhen	190	200	149	3k_dlc06_faction_jiuzhen
3k_dlc06_faction_nanman_jiangyang	190	200	150	3k_dlc06_faction_nanman_jiangyang
3k_dlc06_faction_nanman_jianning	190	200	151	3k_dlc06_faction_nanman_jianning
3k_dlc06_faction_nanman_yunnan	190	200	152	3k_dlc06_faction_nanman_yunnan
3k_dlc06_faction_nanman_ahuinan	190	200	153	3k_dlc06_faction_nanman_ahuinan
3k_dlc06_faction_nanman_mangyachang	190	200	154	3k_dlc06_faction_nanman_mangyachang
3k_dlc06_faction_nanman_zangke	190	200	155	3k_dlc06_faction_nanman_zangke
3k_dlc06_faction_nanman_jinhuansanjie	190	200	156	3k_dlc06_faction_nanman_jinhuansanjie
3k_dlc06_faction_nanman_dongtuna	190	200	157	3k_dlc06_faction_nanman_dongtuna
3k_dlc06_faction_nanman_tu_an	190	200	158	3k_dlc06_faction_nanman_tu_an
3k_dlc06_faction_nanman_xi_ni	190	200	159	3k_dlc06_faction_nanman_xi_ni
3k_dlc06_faction_nanman_king_wutugu	190	200	160	3k_dlc06_faction_nanman_king_wutugu
