faction	active_years_start	active_years_end	sort_order	playstyle
#frontend_factions_tables;4;db/frontend_factions_tables/data__				
3k_dlc04_faction_empress_he	182	189	10	3k_dlc04_faction_empress_he
3k_dlc04_faction_lu_zhi	182	192	32	3k_dlc04_faction_lu_zhi
3k_dlc04_faction_prince_liu_chong	182	197	11	3k_dlc04_faction_prince_liu_chong
3k_dlc04_faction_zhang_bao	182	185	52	3k_dlc04_faction_zhang_bao
3k_dlc04_faction_zhang_jue	182	185	50	3k_dlc04_faction_zhang_jue
3k_dlc04_faction_zhang_liang	182	185	51	3k_dlc04_faction_zhang_liang
3k_dlc05_faction_sun_ce	194	200	0	3k_dlc05_faction_sun_ce
3k_dlc05_faction_white_tiger_yan	190	202	41	3k_dlc05_faction_white_tiger_yan
3k_dlc06_faction_nanman_king_meng_huo	189	225	71	3k_dlc06_faction_nanman_meng_huo
3k_dlc06_faction_nanman_king_mulu	189	225	74	3k_dlc06_faction_king_mulu
3k_dlc06_faction_nanman_king_shamoke	189	225	73	3k_dlc06_faction_shamoke
3k_dlc06_faction_nanman_lady_zhurong	189	225	72	3k_dlc06_faction_nanman_lady_zhurong
3k_main_faction_cao_cao	182	220	0	3k_main_faction_cao_cao
3k_main_faction_dong_zhuo	182	192	25	3k_main_faction_dong_zhuo
3k_main_faction_gongsun_zan	182	199	21	3k_main_faction_gongsun_zan
3k_main_faction_kong_rong	182	208	30	3k_main_faction_kong_rong
3k_main_faction_liu_bei	182	223	1	3k_main_faction_liu_bei
3k_main_faction_liu_biao	182	208	31	3k_main_faction_liu_biao
3k_main_faction_liu_yan	182	214	34	3k_dlc07_faction_liu_zhang
3k_main_faction_lu_bu	194	199	22	3k_main_faction_lu_bu
3k_main_faction_ma_teng	182	212	23	3k_main_faction_ma_teng
3k_main_faction_shi_xie	187	226	70	3k_dlc06_faction_shi_xie
3k_main_faction_sun_jian	182	191	2	3k_main_faction_sun_jian
3k_main_faction_tao_qian	182	194	33	3k_main_faction_tao_qian
3k_main_faction_yellow_turban_anding	182	205	54	3k_main_faction_yellow_turban_anding
3k_main_faction_yellow_turban_rebels	182	205	53	3k_main_faction_yellow_turban_rebels
3k_main_faction_yellow_turban_taishan	182	205	55	3k_main_faction_yellow_turban_taishan
3k_main_faction_yuan_shao	189	202	20	3k_main_faction_yuan_shao
3k_main_faction_yuan_shu	182	199	24	3k_main_faction_yuan_shu
3k_main_faction_zhang_yan	182	205	42	3k_main_faction_zhang_yan
3k_main_faction_zheng_jiang	182	208	40	3k_main_faction_zheng_jiang
ep_faction_prince_of_changsha	291	304	63	ep_faction_prince_of_changsha
ep_faction_prince_of_chengdu	291	306	62	ep_faction_prince_of_chengdu
ep_faction_prince_of_chu	291	291	64	ep_faction_prince_of_chu
ep_faction_prince_of_donghai	291	311	65	ep_faction_prince_of_donghai
ep_faction_prince_of_hejian	291	306	67	ep_faction_prince_of_hejian
ep_faction_prince_of_qi	291	302	66	ep_faction_prince_of_qi
ep_faction_prince_of_runan	291	291	60	ep_faction_prince_of_runan
ep_faction_prince_of_zhao	291	301	61	ep_faction_prince_of_zhao
