key	birth_year	max_age_for_birth_year	max_random_age	min_age_for_birth_year	min_random_age	has_valid_birth_year	min_spawn_year	min_spawn_year_round	max_spawn_year	max_spawn_year_round
#character_generation_spawn_age_ranges_tables;1;db/character_generation_spawn_age_ranges_tables/ironic_changed_ages										
3k_main_age_fixed_historical_zhang_ji_dong_zhou_hero_earth	147	80	50	0	18	true	129	0	196	999
3k_main_age_fixed_historical_cao_chun_hero_fire	170	80	50	0	18	true	196	0	258	999
3k_main_age_fixed_historical_gan_ning_hero_fire	172	80	50	0	18	true	189	0	227	999
3k_main_age_fixed_historical_wu_yi_hero_fire	172	80	50	0	18	true	190	0	999	999
3k_main_age_fixed_historical_chen_lan_hero_wood	172	80	50	0	18	true	198	0	260	999
3k_main_age_fixed_historical_mei_cheng_hero_metal	172	80	50	0	18	true	198	0	260	999
3k_main_age_fixed_historical_yue_jiu_hero_fire	171	80	50	0	18	true	123	0	221	999
3k_main_age_fixed_historical_lady_huang_yueying_hero_wood	189	18	50	0	80	true	212	0	274	999
3k_main_age_fixed_historical_cao_hong_hero_wood	169	50	50	0	18	true	188	0	270	999
3k_main_age_fixed_historical_cao_shuang_hero_wood	203	50	50	0	18	true	221	0	303	999
3k_main_age_fixed_generated_lady_liu_jiejie_hero_earth	160	50	50	0	18	true	178	0	260	999
3k_main_age_fixed_generated_lady_liu_yanglan_hero_water	154	50	50	0	18	true	172	0	254	999
3k_main_age_fixed_historical_lady_yang_hero_water	183	50	50	0	18	true	201	0	283	999
3k_main_age_fixed_historical_guan_suo_hero_metal	216	50	50	0	18	true	234	0	316	999
3k_main_age_fixed_historical_cao_xiu_hero_fire	175	50	50	0	18	true	193	0	275	999
3k_main_age_fixed_historical_sun_deng_hero_fire	209	50	50	0	18	true	227	0	309	999
3k_main_age_fixed_historical_cao_zhen_hero_earth	180	80	50	0	18	true	198	0	280	999
3k_main_age_fixed_historical_xiahou_ba_hero_fire	186	80	50	0	18	true	210	0	292	999
3k_main_age_fixed_historical_man_chong_hero_fire	173	80	50	0	18	true	194	0	276	999
3k_main_age_fixed_historical_zhang_yi_hero_fire	188	80	50	0	18	true	218	0	300	999
3k_main_age_fixed_historical_zhuge_dan_hero_fire	188	80	50	0	18	true	206	0	288	999
3k_main_age_fixed_historical_sun_jing_hero_wood	158	80	50	0	18	true	176	0	258	999
3k_main_age_fixed_historical_sun_jiao_hero_fire	179	80	50	0	18	true	197	0	279	999
3k_main_age_fixed_historical_sun_yu_hero_fire	177	80	50	0	18	true	198	0	280	999
3k_main_age_fixed_historical_sun_ben_hero_fire	170	80	50	0	18	true	188	0	270	999
3k_main_age_fixed_historical_sun_fu_hero_earth	172	80	50	0	18	true	190	0	272	999
3k_main_age_fixed_historical_sun_qiang_hero_fire	152	80	50	0	18	true	170	0	252	999
3k_main_age_fixed_historical_sun_kuang_hero_earth	186	80	50	0	18	true	204	0	286	999
3k_main_age_fixed_historical_gongsun_father	138	80	50	0	18	true	156	0	238	999
3k_main_age_fixed_historical_sun_he_hero_fire	172	80	50	0	18	true	190	0	272	999
3k_main_age_fixed_historical_zhong_hui_hero_earth	225	80	50	0	18	true	243	0	325	999
3k_main_age_fixed_historical_lady_xiahou_hero_water	188	80	50	0	18	true	206	0	288	999
3k_dlc04_age_fixed_historical_chen_deng_yuanlong_water	170	80	50	0	18	true	188	0	200	999
3k_dlc04_age_fixed_historical_chen_su_water	190	80	50	0	18	true	208	0	223	999
3k_main_age_fixed_romance_zuo_ci	100	80	200	0	100	true	150	0	300	999
3k_main_age_fixed_historical_wang_yi_hero_fire	168	80	50	0	18	true	186	0	250	999
3k_main_age_fixed_generated_lady_dong_li_hero_metal	172	80	50	0	18	true	164	0	234	999
3k_main_age_fixed_ancestral_chen_han	116	80	50	0	18	true	1	0	1	999
3k_main_age_fixed_ancestral_chen_qian	80	80	50	0	18	true	1	0	1	999
3k_main_age_fixed_ancestral_zhuge_suo	115	80	50	0	18	true	1	0	1	999
3k_main_age_fixed_ancestral_zhuge_chao	85	80	50	0	18	true	1	0	1	999
