key	birth_year	max_age_for_birth_year	max_random_age	min_age_for_birth_year	min_random_age	has_valid_birth_year	min_spawn_year	min_spawn_year_round	max_spawn_year	max_spawn_year_round
#character_generation_spawn_age_ranges_tables;1;db/character_generation_spawn_age_ranges_tables/ironic_korea_characters_ages										
3k_mod_age_fixed_generated_gi_hoe_hero_wood	163	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_generated_zhang_qi_fire	165	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_gogukcheon_hero_fire	165	80	50	0	18	true	188	0	261	999
3k_mod_age_fixed_historical_chogo_hero_earth	148	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_beolhyu_hero_water	138	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_munseong_hero_water	164	80	50	0	18	true	188	0	261	999
3k_mod_age_fixed_historical_ganwigeo_hero_fire	146	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_kim_suro_hero_earth	142	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_yeonbul_hero_metal	162	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_heo_hwangok_hero_water	132	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_kim_geodeung_hero_water	168	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_tam_hari_hero_metal	171	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_hae_mayeo_hero_earth	168	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_woo_wigeo_hero_water	172	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_go_seongbang_hero_earth	130	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_go_ik_hero_wood	190	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_go_balgi_ironic_hero_fire	167	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_go_yeonu_ironic_hero_earth	168	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_go_gyesu_ironic_hero_wood	169	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_go_uwigeo_ironic_hero_fire	209	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_go_bakwigeo_ironic_hero_wood	180	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_lady_woo_ironic_hero_metal	165	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_an_ryu_ironic_hero_wood	145	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_eul_paso_ironic_hero_water	154	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_jwa_garyeo_ironic_hero_metal	156	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_eo_biryu_ironic_hero_water	154	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_myeongrim_eosu_ironic_hero_water	194	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_go_uru_ironic_hero_earth	179	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_mil_u_ironic_hero_metal	194	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_yu_yu_ironic_hero_metal	212	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_yu_okgu_ironic_hero_fire	199	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_go_yeonbul_ironic_hero_earth	224	80	50	0	18	true	250	0	261	999
3k_mod_age_fixed_historical_hu_nyeo_ironic_hero_water	188	80	50	0	18	true	208	0	261	999
3k_mod_age_fixed_historical_deuk_rae_ironic_hero_earth	197	80	50	0	18	true	212	0	261	999
3k_mod_age_fixed_historical_seok_naehae_ironic_hero_earth	172	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_lady_sulye_ironic_hero_earth	174	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_seok_jobun_ironic_hero_water	174	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_seok_cheomhae_ironic_hero_fire	176	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_seok_naeeum_ironic_hero_wood	193	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_seok_uro_ironic_hero_earth	194	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_seok_aihye_ironic_hero_water	195	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_lady_seok_ironic_hero_water	173	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_kim_gudo_ironic_hero_earth	154	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_kim_michu_ironic_hero_earth	205	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_kim_malgu_ironic_hero_wood	207	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_mul_gyeja_ironic_hero_wood	172	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_gu_suhye_ironic_hero_metal	156	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_chung_hweon_ironic_hero_fire	174	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_yeon_jin_ironic_hero_wood	174	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_heung_seon_ironic_hero_wood	142	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_seol_bu_ironic_hero_earth	158	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_seol_ji_ironic_hero_fire	161	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_guk_ryang_ironic_hero_earth	163	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_sul_myeong_ironic_hero_water	169	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_hwon_gyeon_ironic_hero_fire	178	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_yun_jong_ironic_hero_water	181	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_gang_hwon_ironic_hero_wood	193	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_generated_go_baekgo_hero_wood	89	80	50	0	18	true	105	0	261	999
3k_mod_age_fixed_generated_woo_so_hero_water	91	80	50	0	18	true	105	0	261	999
3k_mod_age_fixed_generated_seok_imae_hero_wood	152	80	50	0	18	true	105	0	261	999
3k_mod_age_fixed_generated_seok_goljeong_hero_wood	150	80	50	0	18	true	105	0	261	999
3k_mod_age_fixed_generated_buyeo_giru_hero_earth	33	80	50	0	18	true	105	0	261	999
3k_mod_age_fixed_generated_buyeo_gaeru_hero_fire	110	80	50	0	18	true	105	0	261	999
3k_mod_age_fixed_historical_buyeo_gusu_ironic_hero_fire	160	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_buyeo_goi_ironic_hero_earth	166	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_buyeo_usu_ironic_hero_water	171	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_buyeo_jil_ironic_hero_water	132	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_historical_gil_seon_ironic_hero_metal	146	80	50	0	18	true	190	0	261	999
3k_mod_age_fixed_generated_buyeo_saban_hero_wood	220	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_hoe_hoe_ironic_hero_earth	181	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_jin_gwa_ironic_hero_earth	172	80	50	0	18	true	225	0	261	999
3k_mod_age_fixed_historical_jin_chung_ironic_hero_wood	210	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_jin_mul_ironic_hero_fire	217	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_woo_du_ironic_hero_water	209	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_go_su_ironic_hero_fire	210	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_jin_ga_ironic_hero_water	213	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_yu_gi_ironic_hero_earth	216	80	50	0	18	true	255	0	261	999
3k_mod_age_fixed_historical_gon_no_ironic_hero_metal	218	80	50	0	18	true	255	0	261	999
