key	birth_year	max_age_for_birth_year	max_random_age	min_age_for_birth_year	min_random_age	has_valid_birth_year	min_spawn_year	min_spawn_year_round	max_spawn_year	max_spawn_year_round
#character_generation_spawn_age_ranges_tables;1;db/character_generation_spawn_age_ranges_tables/data__										
3k_dlc04_age_fixed_historical_bao_dan_water	120	80	50	0	18	true	120	0	200	999
3k_dlc04_age_fixed_historical_beigong_boyu_fire	146	1000	50	0	18	true	128	0	196	999
3k_dlc04_age_fixed_historical_bi_lan_water	141	80	50	0	18	true	141	0	221	999
3k_dlc04_age_fixed_historical_bian_zhang_metal	133	1000	50	0	18	true	115	0	183	999
3k_dlc04_age_fixed_historical_bo_cai_wood	150	1000	50	0	18	true	132	0	200	999
3k_dlc04_age_fixed_historical_bu_si_metal	164	1000	50	0	18	true	146	0	214	999
3k_dlc04_age_fixed_historical_cao_de_earth	158	1000	50	0	18	true	140	0	208	999
3k_dlc04_age_fixed_historical_cao_ding_fire	124	80	50	0	18	true	124	0	204	999
3k_dlc04_age_fixed_historical_chen_dan_hangong_metal	144	80	50	0	18	true	144	0	224	999
3k_dlc04_age_fixed_historical_chen_deng_yuanlong_water	156	1000	50	0	18	true	138	0	181	999
3k_dlc04_age_fixed_historical_chen_su_water	173	1000	50	0	18	true	155	0	223	999
3k_dlc04_age_fixed_historical_cheng_qiu_water	149	1000	50	0	18	true	131	0	199	999
3k_dlc04_age_fixed_historical_chu_gong_metal	122	1000	50	0	18	true	104	0	172	999
3k_dlc04_age_fixed_historical_deng_sheng_boneng_fire	137	80	50	0	18	true	137	0	217	999
3k_dlc04_age_fixed_historical_ding_yuan_wood	135	1000	50	0	18	true	103	0	171	999
3k_dlc04_age_fixed_historical_dong_he_earth	146	1000	50	0	18	true	128	0	195	999
3k_dlc04_age_fixed_historical_dong_zhong_metal	136	80	50	0	18	true	136	0	216	999
3k_dlc04_age_fixed_historical_duan_gui_ziyin_fire	138	80	50	0	18	true	138	0	218	999
3k_dlc04_age_fixed_historical_emperor_ling_earth	156	99	50	0	18	true	156	0	196	999
3k_dlc04_age_fixed_historical_emperor_shao_fire	176	99	50	0	18	true	176	0	216	999
3k_dlc04_age_fixed_historical_empress_he_fire	152	1000	50	0	18	true	134	0	202	999
3k_dlc04_age_fixed_historical_feng_fang_earth	139	80	50	0	18	true	139	0	219	999
3k_dlc04_age_fixed_historical_fu_xie_nanrong_wood	139	1000	50	0	18	true	121	0	189	999
3k_dlc04_age_fixed_historical_gao_wang_water	128	80	50	0	18	true	128	0	208	999
3k_dlc04_age_fixed_historical_gao_you_water	162	1000	50	0	18	true	144	0	212	999
3k_dlc04_age_fixed_historical_geng_bi_wood	155	1000	50	0	18	true	137	0	205	999
3k_dlc04_age_fixed_historical_guo_sheng_metal	160	80	50	0	18	true	160	0	240	999
3k_dlc04_age_fixed_historical_han_kui_earth	150	80	50	0	18	true	150	0	230	999
3k_dlc04_age_fixed_historical_han_zhong_water	162	1000	50	0	18	true	144	0	212	999
3k_dlc04_age_fixed_historical_he_jin_metal	147	1000	50	0	18	true	129	0	181	999
3k_dlc04_age_fixed_historical_huang_yan_water	136	1000	50	0	18	true	118	0	186	999
3k_dlc04_age_fixed_historical_jiu_dan_water	124	80	50	0	18	true	124	0	204	999
3k_dlc04_age_fixed_historical_lady_ding_earth	144	1000	50	0	18	true	126	0	181	999
3k_dlc04_age_fixed_historical_lady_lu_metal	150	1000	50	0	18	true	132	0	200	999
3k_dlc04_age_fixed_historical_lady_mi_earth	167	80	50	0	18	true	143	0	225	999
3k_dlc04_age_fixed_historical_lady_wang_song_water	150	1000	50	0	18	true	132	0	200	999
3k_dlc04_age_fixed_historical_li_song_fire	134	80	50	0	18	true	134	0	214	999
3k_dlc04_age_fixed_historical_li_wenhou_wood	154	1000	50	0	18	true	136	0	204	999
3k_dlc04_age_fixed_historical_liang_boning_water	120	1000	50	0	18	true	102	0	170	999
