faction_key	optional_campaign_key	faction_group_key
#faction_to_faction_groups_junctions_tables;5;db/faction_to_faction_groups_junctions_tables/data__		
3k_dlc04_faction_empress_he	3k_dlc04_start_pos	3k_the_han
3k_dlc04_faction_lu_zhi	3k_dlc04_start_pos	3k_Imperial_governors
3k_dlc04_faction_prince_liu_chong	3k_dlc04_start_pos	3k_the_han
3k_dlc04_faction_prince_liu_chong	3k_dlc05_start_pos	3k_regional_warlords
3k_dlc04_faction_prince_liu_chong	3k_main_campaign_map	3k_the_empire
3k_dlc04_faction_zhang_bao	3k_dlc04_start_pos	3k_yellow_turbans
3k_dlc04_faction_zhang_jue	3k_dlc04_start_pos	3k_yellow_turbans
3k_dlc04_faction_zhang_liang	3k_dlc04_start_pos	3k_yellow_turbans
3k_dlc05_faction_sun_ce	3k_dlc05_start_pos	3k_warlords
3k_dlc05_faction_sun_ce	3k_dlc07_start_pos	3k_warlords
3k_dlc05_faction_white_tiger_yan	3k_dlc05_start_pos	3k_bandits
3k_dlc05_faction_white_tiger_yan	3k_main_campaign_map	3k_bandits
3k_dlc06_faction_nanman_king_meng_huo	3k_dlc05_start_pos	3k_nanman
3k_dlc06_faction_nanman_king_meng_huo	3k_dlc07_start_pos	3k_nanman
3k_dlc06_faction_nanman_king_meng_huo	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_king_mulu	3k_dlc05_start_pos	3k_nanman
3k_dlc06_faction_nanman_king_mulu	3k_dlc07_start_pos	3k_nanman
3k_dlc06_faction_nanman_king_mulu	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_king_shamoke	3k_dlc05_start_pos	3k_nanman
3k_dlc06_faction_nanman_king_shamoke	3k_dlc07_start_pos	3k_nanman
3k_dlc06_faction_nanman_king_shamoke	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_lady_zhurong	3k_dlc05_start_pos	3k_nanman
3k_dlc06_faction_nanman_lady_zhurong	3k_main_campaign_map	3k_nanman
3k_main_faction_cao_cao	3k_dlc04_start_pos	3k_imperial_warlords
3k_main_faction_cao_cao	3k_dlc05_start_pos	3k_warlords
3k_main_faction_cao_cao	3k_dlc07_start_pos	3k_warlords
3k_main_faction_cao_cao	3k_main_campaign_map	3k_the_coalition
3k_main_faction_dong_zhuo	3k_dlc04_start_pos	3k_imperial_warlords
3k_main_faction_dong_zhuo	3k_main_campaign_map	3k_the_empire
3k_main_faction_gongsun_zan	3k_dlc05_start_pos	3k_warlords
3k_main_faction_gongsun_zan	3k_main_campaign_map	3k_the_coalition
3k_main_faction_kong_rong	3k_dlc05_start_pos	3k_regional_warlords
3k_main_faction_kong_rong	3k_main_campaign_map	3k_the_coalition
