faction_key	optional_campaign_key	faction_group_key
#faction_to_faction_groups_junctions_tables;5;db/faction_to_faction_groups_junctions_tables/gathering		
3k_main_faction_cao_cao	8p_start_pos	3k_the_han
3k_main_faction_sun_jian	8p_start_pos	3k_the_han
3k_dlc05_faction_sun_ce	8p_start_pos	3k_the_han
3k_main_faction_yuan_shao	8p_start_pos	3k_the_han
3k_main_faction_gongsun_du	8p_start_pos	3k_the_han
3k_main_faction_gongsun_zan	8p_start_pos	3k_the_han
3k_main_faction_liu_yan	8p_start_pos	3k_the_han
3k_main_faction_liu_bei	8p_start_pos	3k_the_han
ironic_faction_xianbei_tuoba	8p_start_pos	barbarian_factions
ironic_faction_wuhuan_tribes	8p_start_pos	barbarian_factions
3k_main_faction_liu_yu	8p_start_pos	3k_the_han
3k_main_faction_han_fu	8p_start_pos	3k_the_han
3k_dlc04_faction_zhang_jue	8p_start_pos	3k_yellow_turbans
3k_dlc04_faction_zhang_bao	8p_start_pos	3k_yellow_turbans
3k_dlc04_faction_zhang_liang	8p_start_pos	3k_yellow_turbans
3k_dlc04_faction_lu_zhi	8p_start_pos	3k_the_han
3k_main_faction_yellow_turban_taishan	8p_start_pos	3k_yellow_turbans
3k_main_faction_gao_gan	8p_start_pos	3k_the_han
3k_main_faction_zhang_yang	8p_start_pos	3k_the_han
3k_main_faction_zhang_yan	8p_start_pos	3k_bandits
3k_main_faction_wang_kuang	8p_start_pos	3k_the_han
3k_main_faction_lu_bu	8p_start_pos	3k_the_han
3k_dlc04_faction_prince_liu_chong	8p_start_pos	3k_the_han
3k_main_faction_yuan_shu	8p_start_pos	3k_the_han
3k_main_faction_liu_dai	8p_start_pos	3k_the_han
3k_main_faction_zheng_jiang	8p_start_pos	3k_bandits
3k_main_faction_tao_qian	8p_start_pos	3k_the_han
3k_main_faction_yellow_turban_rebels	8p_start_pos	3k_yellow_turbans
3k_main_faction_kong_rong	8p_start_pos	3k_the_han
3k_dlc04_faction_ying_shao	8p_start_pos	3k_the_han
3k_dlc04_faction_chen_gui	8p_start_pos	3k_the_han
3k_main_faction_zhai_rong	8p_start_pos	3k_the_han
3k_main_faction_zhang_chao	8p_start_pos	3k_the_han
ironic_faction_chen_wen	8p_start_pos	3k_the_han
3k_dlc04_faction_lu_kang	8p_start_pos	3k_the_han
3k_main_faction_kong_zhou	8p_start_pos	3k_the_han
3k_main_faction_yellow_turban_anding	8p_start_pos	3k_yellow_turbans
3k_main_faction_huang_zu	8p_start_pos	3k_the_han
3k_main_faction_cai_mao	8p_start_pos	3k_the_han
3k_main_faction_liu_biao	8p_start_pos	3k_the_han
3k_main_faction_dong_zhuo	8p_start_pos	3k_the_han
3k_main_faction_zhang_lu	8p_start_pos	3k_the_han
ironic_faction_xiongnu_tribes	8p_start_pos	barbarian_factions
ironic_faction_xianbei_kuitou	8p_start_pos	barbarian_factions
3k_dlc05_faction_yang_feng	8p_start_pos	3k_bandits
3k_dlc04_faction_empress_he	8p_start_pos	3k_the_han
3k_dlc04_faction_liang_rebels	8p_start_pos	3k_the_han
3k_main_faction_liu_yao	8p_start_pos	3k_the_han
ironic_faction_zhang_xian	8p_start_pos	3k_the_han
3k_main_faction_shi_xie	8p_start_pos	3k_the_han
3k_main_faction_gaoliang	8p_start_pos	3k_the_han
3k_main_faction_yulin	8p_start_pos	3k_the_han
ironic_faction_zhang_jin_border	8p_start_pos	3k_the_han
ironic_faction_huang_clan	8p_start_pos	3k_the_han
ironic_faction_ma_ai	8p_start_pos	3k_the_han
ironic_faction_cao_ren	8p_start_pos	3k_the_han
ironic_faction_ma_chao	8p_start_pos	3k_the_han
ironic_faction_sun_quan	8p_start_pos	3k_the_han
ironic_faction_xiahou_yuan	8p_start_pos	3k_the_han
ironic_faction_zhang_liao	8p_start_pos	3k_the_han
ironic_faction_chen_lan	8p_start_pos	3k_bandits
ironic_faction_yellow_turban_xu_he	8p_start_pos	3k_yellow_turbans
ironic_faction_zhou_yu	8p_start_pos	3k_the_han
ironic_faction_zhong_yao	8p_start_pos	3k_the_han
ironic_faction_du_ji	8p_start_pos	3k_the_han
ironic_faction_zhuge_liang	8p_start_pos	3k_the_han
ironic_faction_han_xuan	8p_start_pos	3k_the_han
ironic_faction_liu_du	8p_start_pos	3k_the_han
ironic_faction_zhao_fan	8p_start_pos	3k_the_han
ironic_faction_sun_ben	8p_start_pos	3k_the_han
ironic_faction_lei_xu	8p_start_pos	3k_bandits
ironic_faction_liu_shan	8p_start_pos	3k_the_han
ironic_faction_guan_yu	8p_start_pos	3k_the_han
ironic_faction_zu_lang	8p_start_pos	3k_bandits
ironic_faction_zhu_jun	8p_start_pos	3k_the_han
