faction_key	optional_campaign_key	faction_group_key
#faction_to_faction_groups_junctions_tables;5;db/faction_to_faction_groups_junctions_tables/ironic_faction_grouping		
3k_main_faction_gao_gan	3k_main_campaign_map	3k_the_coalition
3k_dlc04_faction_liang_rebels	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_han_sui	3k_main_campaign_map	3k_the_empire
ironic_faction_xiongnu_tribes	3k_main_campaign_map	barbarian_factions
ironic_faction_wuhuan_tribes	3k_main_campaign_map	barbarian_factions
3k_dlc05_faction_sun_ce	3k_main_campaign_map	heir_factions
3k_main_faction_liu_yu	3k_main_campaign_map	3k_the_empire
3k_main_faction_wang_kuang	3k_main_campaign_map	3k_the_coalition
3k_main_faction_zhang_yang	3k_main_campaign_map	3k_the_coalition
3k_dlc05_faction_yang_feng	3k_main_campaign_map	3k_bandits
3k_main_faction_gongsun_du	3k_main_campaign_map	3k_the_empire
3k_main_faction_liu_dai	3k_main_campaign_map	3k_the_coalition
3k_dlc04_faction_ying_shao	3k_main_campaign_map	3k_regional_warlords
3k_dlc04_faction_chen_gui	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_zhai_rong	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_zhang_chao	3k_main_campaign_map	3k_the_coalition
ironic_faction_chen_wen	3k_main_campaign_map	3k_regional_warlords
ironic_faction_bian_rang	3k_main_campaign_map	3k_regional_warlords
3k_dlc04_faction_lu_kang	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_zhang_lu	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_jia_long	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_liu_yao	3k_main_campaign_map	3k_the_empire
3k_dlc05_faction_sheng_xian	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_wang_lang	3k_main_campaign_map	3k_regional_warlords
ironic_faction_zhu_hao	3k_main_campaign_map	3k_regional_warlords
3k_dlc05_faction_hua_xin	3k_main_campaign_map	3k_regional_warlords
ironic_faction_zhuge_xuan	3k_main_campaign_map	3k_regional_warlords
ironic_faction_liu_pan	3k_main_campaign_map	3k_the_empire
ironic_faction_zhang_xian	3k_main_campaign_map	3k_regional_warlords
ironic_faction_zhang_jin	3k_main_campaign_map	3k_regional_warlords
3k_dlc05_faction_shi_huang	3k_main_campaign_map	3k_regional_warlords
ironic_faction_gan_ning	3k_main_campaign_map	3k_bandits
