key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	melee_attack	melee_defence	morale	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	officers	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	sync_locomotion	melee_attack_interval_reduction_percentage	reload_time_reduction_percentage	personalities_location	is_primarily_melee	secondary_melee_weapon
#land_units_tables;49;db/land_units_tables/ironic_northwest_units																																																			
ironic_xiliang_commander	0	ep_unit_cataphract	1950	inf_melee	76	inf_mel	76	0	none	0	46	62	3k_main_unit_1h095_sword_double_edge_custodians		10	3k_main_unit_infantry_tower	none	3k_infantry_elite	none	false	elite	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_disciplined_fatigue_resistant_scare_immune_encourages	50	50	false	battle_vo_order_jian	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
unit_fire_ironic_gan_ning_fire_cavalry	0	3k_main_unit_leather_reinforced	2450	cavalry	216	cav_shk	49	0	none	0	5	42	3k_main_unit_2h250_spear	unit_fire_ironic_gan_ning_fire_cavalry	5	none	none	3k_cavalry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_causes_fear_raider_guerilla_deploy	50	50	false	battle_vo_order_cavalry	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_cavalry_medium	0	16	0	0	0	0	0	3k_main_cavalry_shock	false	false	0	0	front	true	
unit_metal_ironic_gan_ning_metal_infantry	0	3k_main_unit_leather_heavy	1950	inf_melee	132	inf_mel	92	0	none	0	17	46	3k_dlc04_unit_dw095_short_ji	unit_metal_ironic_gan_ning_metal_infantry	10	none	none	3k_infantry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_disciplined_causes_fear	50	50	false	battle_vo_order_jian	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_medium	0	5	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	true	
unit_fire_ironic_gao_gan_fire_cavalry	0	3k_main_unit_iron_full	2450	cavalry	215	cav_shk	91	0	none	0	16	48	3k_main_unit_2h250_spear	unit_fire_ironic_gao_gan_fire_cavalry	5	none	none	3k_cavalry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_mighty_knockback	50	50	false	battle_vo_order_cavalry	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_cavalry_heavy	0	10	0	0	0	0	0	3k_main_cavalry_shock	false	false	0	0	front	true	
unit_metal_ironic_gao_gan_metal_infantry	0	ep_unit_cataphract	1950	inf_melee	39	inf_mel	39	0	none	0	51	56	3k_dlc05_unit_2h175_sword_double_edge		10	none	none	3k_infantry_elite	none	false	elite	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_disciplined_charge_negate_vs_large_causes_fear	50	50	false	battle_vo_order_swordsmen	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
unit_wood_ironic_spear_milita_infantry	0	3k_dlc06_unit_rattan_partial	1950	inf_melee	22	inf_spr	22	0	none	0	6	22	3k_main_unit_1h175_spear_militia		10	3k_main_unit_infantry_oval	none	3k_infantry_militia	none	false	poorly_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_light	0	0	-100	0	0	0	0	3k_main_infantry_spear	false	false	0	0	front	true	
unit_wood_ironic_han_fu_wood_infantry	0	3k_main_unit_leather_heavy	1950	inf_melee	79	inf_spr	79	0	none	0	8	37	3k_main_unit_1h175_spear		10	3k_main_unit_infantry_tower	none	3k_infantry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_charge_reflector_vs_large	50	50	false	battle_vo_order_spearmen	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_spear	false	false	0	0	front	false	
unit_metal_ironic_zhang_yang_metal_infantry	0	3k_main_unit_iron_full	1950	inf_melee	205	inf_mel	165	0	none	0	22	42	3k_dlc05_unit_2h175_sword_double_edge		10	none	none	3k_infantry_default	none	false	well_trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_disciplined_charge_negate_vs_large_causes_fear	50	50	false	battle_vo_order_jian	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
unit_earth_ironic_zhang_yang_earth_cavalry	0	3k_main_unit_leather_reinforced	2450	cavalry	232	cav_mel	58	0	none	0	14	35	3k_main_unit_1h095_sword_single_edge		5	3k_main_unit_cavalry_rattan	none	3k_cavalry_default	none	false	trained	A_blank_record	true	60.0000	800.0000	0.0000	3k_hide_forest_scare_immune_disciplined	50	50	false	battle_vo_order_cavalry	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_cavalry_medium	0	0	0	0	0	50	0	3k_main_cavalry_melee	false	false	0	0	front	false	
