key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	melee_attack	melee_defence	morale	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	officers	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	sync_locomotion	melee_attack_interval_reduction_percentage	reload_time_reduction_percentage	personalities_location	is_primarily_melee	secondary_melee_weapon
#land_units_tables;49;db/land_units_tables/ironic_nomadic_units_updated_stats																																																			
3k_ironic_unit_water_untried_archers	0	3k_main_unit_tunic	1950	inf_ranged	18	inf_mis	28	0	none	0	8	22	3k_main_unit_1h095_sword_single_edge_weak	3k_main_unit_bow_wooden_composite	10	none	none	3k_infantry_default	none	false	rabble	A_blank_record	true	50.0000	1000.0000	0.0000	3k_mod_untried_archers	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	18	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	0	back	false	
3k_ironic_unit_water_hardened_archers	0	3k_main_unit_leather_reinforced	1950	inf_ranged	22	inf_mis	36	0	none	0	9	28	3k_main_unit_1h095_sword_single_edge_weak	3k_main_unit_bow_long_siyah_horn	10	none	none	3k_infantry_default	none	false	trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_mod_hardened_archers	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	25	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	0	back	false	
3k_ironic_unit_water_sworn_archers	0	3k_main_unit_iron_partial	1950	inf_ranged	26	inf_mis	42	0	none	0	10	34	3k_main_unit_1h095_sword_single_edge_elite	3k_main_unit_bow_long_siyah_horn_elite	10	none	none	3k_infantry_elite	none	false	well_trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_mod_sworn_archers	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	32	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	-5	back	false	
3k_ironic_unit_metal_untried_warriors	0	3k_dlc06_unit_rattan_light	1950	inf_melee	105	inf_mel	105	0	none	0	18	26	3k_main_unit_1h095_axe		10	none	none	3k_infantry_default	none	false	rabble	A_blank_record	true	50.0000	1000.0000	0.0000	3k_ironic_unit_metal_untried_warriors	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
3k_ironic_unit_metal_hardened_warriors	0	3k_main_unit_leather_heavy	1950	inf_melee	135	inf_mel	135	0	none	0	25	32	3k_main_unit_dw095_axe		10	none	none	3k_infantry_default	none	false	trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_ironic_unit_metal_hardened_warriors	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
3k_ironic_unit_metal_sworn_warriors	0	3k_main_unit_iron_lamellar	1950	inf_melee	170	inf_mel	170	0	none	0	32	38	3k_main_unit_dw095_axe		10	none	none	3k_infantry_elite	none	false	well_trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_ironic_unit_metal_sworn_warriors	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
3k_ironic_unit_metal_untried_blades	0	3k_dlc06_unit_rattan_light	1950	inf_melee	90	inf_mel	90	0	none	0	34	30	rew_109e_unit_1h095_khanda		10	none	none	3k_infantry_default	none	false	rabble	A_blank_record	true	50.0000	1000.0000	0.0000	3k_ironic_unit_metal_untried_blades	50	50	false	battle_vo_order_swordsmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
3k_ironic_unit_metal_hardened_blades	0	3k_main_unit_leather_heavy	1950	inf_melee	105	inf_mel	105	0	none	0	42	38	rew_109e_unit_1h095_khanda		10	3k_main_unit_infantry_wood_leather_reinforced	none	3k_infantry_default	none	false	trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_ironic_unit_metal_hardened_blades	50	50	false	battle_vo_order_swordsmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
3k_ironic_unit_metal_sworn_blades	0	3k_main_unit_iron_lamellar	1950	inf_melee	120	inf_mel	120	0	none	0	50	46	rew_109e_unit_1h095_khanda_elite		10	3k_main_unit_infantry_wood_leather_reinforced	none	3k_infantry_elite	none	false	well_trained	A_blank_record	true	50.0000	1000.0000	0.0000	3k_ironic_unit_metal_sworn_blades	50	50	false	battle_vo_order_swordsmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	front	false	
