key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	melee_attack	melee_defence	morale	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_weaknesses_text	supports_first_person	training_level	officers	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	sync_locomotion	melee_attack_interval_reduction_percentage	reload_time_reduction_percentage	personalities_location	is_primarily_melee	secondary_melee_weapon
#land_units_tables;49;db/land_units_tables/rew_iro_southern_update_units																																																			
unit_water_yang_crossbows	0	3k_main_unit_iron_partial	1950	inf_ranged	21	inf_mis	21	0	none	0	10	37	3k_main_unit_1h095_sword_single_edge_weak	3k_main_unit_crossbow	10	none	none	3k_infantry_default	none	false	poorly_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_resist_heat	50	50	false	battle_vo_order_crossbows	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	23	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	0	random	false	
unit_wood_yang_halbrediers	0	3k_main_unit_iron_lamellar	1950	inf_melee	84	inf_pik	104	0	none	0	65	48	3k_main_unit_2h250_polearm_ji_elite		10	none	none	3k_infantry_elite	none	false	well_trained	A_blank_record	true	50.0000	1000.0000	0.0000	rew_hide_forest_charge_reflector_vs_large_resist_heat_and_fatigue	50	50	false	battle_vo_order_halberds	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_heavy	0	0	0	0	0	0	0	3k_main_infantry_pike	false	false	20	0	random	false	
unit_metal_wu_engineers	0	3k_main_unit_leather_heavy	1950	inf_melee	224	inf_mel	224	0	none	0	35	64	3k_main_unit_1h095_axe_elite	rew_iro_main_unit_satchel_charge	5	3k_ytr_unit_infantry_dodging	none	3k_infantry_default	none	false	elite	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_resist_heat_encourage	50	50	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	15.0000	3k_main_infantry_medium	0	1	0	0	0	0	0	3k_main_infantry_melee	false	false	30	-50	random	true	
unit_water_fuchun_militia	0	3k_main_unit_leather_reinforced	1950	inf_ranged	12	inf_mis	21	0	none	0	12	25	3k_main_unit_1h095_sword_single_edge_weak	3k_main_unit_bow_wooden_composite	10	none	none	3k_infantry_militia	none	false	poorly_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_resist_heat	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_dlc04_unit_water_yaoguai_hunters	0	26	0	0	0	0	0	3k_main_infantry_ranged	true	false	0	0	random	false	
unit_earth_shanyue_volunteer_cavalry	0	3k_main_unit_leather_partial	2450	cavalry	155	cav_mel	38	0	none	0	30	34	3k_main_unit_1h095_sword_single_edge	3k_dlc04_unit_bow_wooden_composite_poison	5	3k_main_unit_cavalry_rattan	none	3k_cavalry_militia	none	false	poorly_trained	A_blank_record	true	50.0000	1000.0000	0.0000	rew_hide_forest_resist_heat_snipe	50	50	false	battle_vo_order_cavalry	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_cavalry_light	0	42	0	0	0	50	0	3k_main_cavalry_melee	false	false	-25	-25	random	true	
unit_water_kuaji_archers	0	3k_main_unit_leather_heavy	1950	inf_ranged	35	inf_mis	30	0	none	0	42	46	3k_main_unit_1h095_sword_single_edge_elite	3k_main_unit_bow_long_siyah_horn_elite	10	none	none	3k_infantry_elite	none	false	well_trained	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_resist_heat_encourage	50	50	false	battle_vo_order_archers	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	30	0	0	0	0	0	3k_main_infantry_ranged	true	false	15	0	random	false	
unit_metal_zu_lang_shanyue_bandits	0	3k_main_unit_tunic	1950	inf_melee	170	inf_mel	170	0	none	0	25	28	3k_dlc04_unit_dw095_short_ji		10	none	none	3k_infantry_militia	none	false	rabble	A_blank_record	true	50.0000	800.0000	0.0000	rew_hide_forest_resist_heat_guerilla_deploy	200	200	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	25.0000	3k_main_infantry_light	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	-5	0	random	false	
unit_metal_zu_lang_coastal_marauders	0	3k_main_unit_iron_partial	1950	inf_melee	210	inf_mel	210	0	none	0	35	42	3k_main_unit_1h095_axe	3k_dlc06_unit_throwing_axe_precursor	10	3k_main_unit_infantry_gourd	none	3k_infantry_militia	none	false	poorly_trained	A_blank_record	true	50.0000	800.0000	0.0000	rew_hide_forest_resist_heat_guerilla_deploy	200	200	false	battle_vo_order_axes	battle_vo_order_select	battle_vo_order_select	1.0000	25.0000	3k_main_infantry_medium	0	2	0	0	0	0	0	3k_main_infantry_melee	false	false	0	0	random	true	
unit_metal_tong_zhi_wu_drafted_guards	0	3k_main_unit_leather_heavy	1950	inf_melee	115	inf_mel	0	0	none	0	34	30	3k_main_unit_1h095_sword_single_edge_militia		10	3k_main_unit_infantry_rattan	none	3k_infantry_militia	none	false	rabble	A_blank_record	true	50.0000	800.0000	0.0000	3k_hide_forest_resist_heat	50	50	false	battle_vo_order_swordsmen	battle_vo_order_select	battle_vo_order_select	1.0000	10.0000	3k_main_infantry_medium	0	0	0	0	0	0	0	3k_main_infantry_melee	false	false	-5	0	random	false	
