campaign	id	region	slot_template	slot_type
#start_pos_region_slot_templates_tables;0;db/start_pos_region_slot_templates_tables/data_8p_start_pos				
8p_start_pos	1003088858	3k_main_chengdu_resource_1	3k_resource_metal_craftsmen_armour	primary
8p_start_pos	1006692687	3k_main_lujiang_capital	3k_city	primary
8p_start_pos	1015188323	3k_main_bajun_capital	3k_city	primary
8p_start_pos	1021839380	3k_main_xihe_resource_1	3k_resource_bandit	secondary
8p_start_pos	1022407091	ironic_region_wuwei_resource_3	3k_resource_bandit	secondary
8p_start_pos	1028134887	3k_main_xindu_resource_2	3k_resource_bandit	secondary
8p_start_pos	1033050604	3k_main_langye_resource_2	3k_resource_bandit	secondary
8p_start_pos	1038060995	3k_main_bajun_capital	3k_province_capital_port	port
8p_start_pos	1041091145	3k_main_guangling_resource_2	3k_resource_bandit	secondary
8p_start_pos	1042808736	3k_main_dongjun_capital	3k_city	primary
8p_start_pos	1045005518	3k_main_penchang_capital	3k_city	primary
8p_start_pos	1047050726	3k_main_jianye_resource_1	3k_resource_water_salt	primary
8p_start_pos	1048107689	ironic_region_hyunto_resource_2	3k_resource_fire_iron	primary
8p_start_pos	105006996	ironic_region_hyunto_capital	3k_city	primary
8p_start_pos	1052361401	3k_main_yizhou_island_capital	3k_districts	secondary
8p_start_pos	1068893368	3k_main_shoufang_capital	3k_city	primary
8p_start_pos	1070416425	3k_main_youzhou_capital	3k_city	primary
8p_start_pos	1076381979	3k_main_yuzhang_resource_1	3k_resource_bandit	secondary
8p_start_pos	107657338	3k_main_luling_resource_1	3k_resource_metal_copper	primary
8p_start_pos	10772140	ironic_region_dongokjeo_capital	3k_districts	secondary
8p_start_pos	1088802955	3k_main_jianning_resource_2	3k_resource_water_spice	primary
8p_start_pos	1088825897	3k_main_wuling_resource_1	3k_resource_bandit	secondary
8p_start_pos	1089974431	3k_main_tongan_resource_1	3k_resource_wood_livestock	primary
8p_start_pos	1091977461	3k_main_kuaiji_capital	3k_city	primary
8p_start_pos	1098079063	ironic_region_dongokjeo_resource_2	3k_resource_bandit	secondary
8p_start_pos	1101483200	3k_main_daijun_resource_1	3k_resource_metal_craftsmen_animal	primary
8p_start_pos	1101875401	3k_main_youbeiping_resource_1	3k_minor_port	port
8p_start_pos	1105668548	ironic_region_jinbeongun_capital	3k_districts_port	secondary
8p_start_pos	1108467554	3k_dlc06_liaodong_resource_1	3k_resource_bandit	secondary
8p_start_pos	1112608981	3k_main_xindu_resource_2	3k_resource_wood_fish	primary
8p_start_pos	1113585433	3k_main_lujiang_resource_1	3k_resource_wood_fish	primary
8p_start_pos	1115063078	3k_main_wuwei_resource_2	3k_resource_bandit	secondary
8p_start_pos	1115206620	3k_main_lingling_capital	3k_city	primary
8p_start_pos	1118872092	3k_main_youzhou_capital	3k_districts	secondary
8p_start_pos	1119594890	3k_main_lujiang_resource_1	3k_resource_bandit	secondary
8p_start_pos	1122738771	3k_main_shoufang_capital	3k_province_capital_port	port
8p_start_pos	1123368631	3k_main_youbeiping_capital	3k_city	primary
8p_start_pos	1127856221	3k_main_henei_capital	3k_city	primary
8p_start_pos	113113746	3k_main_guangling_resource_2	3k_minor_port	port
8p_start_pos	1131502018	3k_main_jianye_resource_1	3k_resource_bandit	secondary
8p_start_pos	1131881873	3k_main_dongou_capital	3k_districts_port	secondary
8p_start_pos	1136587971	3k_main_yangzhou_capital	3k_districts	secondary
8p_start_pos	1138629838	3k_main_cangwu_resource_2	3k_resource_bandit	secondary
8p_start_pos	1140779176	3k_main_hepu_resource_2	3k_resource_wood_lumber_bamboo	primary
8p_start_pos	1145782203	ironic_region_hanyang_capital	3k_districts	secondary
8p_start_pos	1146529327	3k_main_chenjun_resource_2	3k_resource_wood_farms_grain	primary
8p_start_pos	1148556832	3k_main_pingyuan_capital	3k_districts	secondary
8p_start_pos	1149876374	3k_main_kuaiji_resource_1	3k_resource_wood_farms_rice	primary
8p_start_pos	1151556084	3k_main_yulin_resource_2	3k_resource_bandit	secondary
8p_start_pos	1155046639	3k_main_yangzhou_resource_3	3k_resource_bandit	secondary
8p_start_pos	1156192026	3k_main_changsha_resource_2	3k_resource_bandit	secondary
8p_start_pos	1162224821	3k_main_henei_resource_1	3k_resource_wood_farms_grain	primary
8p_start_pos	116405601	3k_main_poyang_resource_1	3k_resource_bandit	secondary
8p_start_pos	1164788979	3k_main_shangdang_capital	3k_city	primary
8p_start_pos	1176395437	3k_main_hanzhong_capital	3k_districts	secondary
8p_start_pos	1186830181	ironic_region_gyeongju_capital	3k_city	primary
