campaign	id	region	slot_template	slot_type
#start_pos_region_slot_templates_tables;0;db/start_pos_region_slot_templates_tables/data_3k_main_campaign_map				
3k_main_campaign_map	1005313841	ironic_region_hyunto_capital	3k_city	primary
3k_main_campaign_map	100562403	3k_main_gaoliang_resource_1	ironic_province_jiao_standard	secondary
3k_main_campaign_map	1011796727	3k_dlc06_hedong_resource_2	3k_resource_fire_iron	primary
3k_main_campaign_map	10136	3k_main_anding_capital	3k_city	primary
3k_main_campaign_map	1014429233	ironic_region_wuyuan_capital	3k_city	primary
3k_main_campaign_map	10144	3k_main_anding_capital	3k_districts	secondary
3k_main_campaign_map	10145	3k_main_anding_resource_1	3k_resource_wood_farms_grain	primary
3k_main_campaign_map	10156	3k_main_anding_resource_2	3k_resource_metal_tools	primary
3k_main_campaign_map	10160	3k_main_anding_resource_3	3k_resource_wood_livestock	primary
3k_main_campaign_map	1017202311	3k_main_shangdang_resource_1	ironic_province_bing_standard	secondary
3k_main_campaign_map	10176	3k_main_anping_capital	3k_city	primary
3k_main_campaign_map	1018065570	3k_main_changsha_resource_3	ironic_province_jing_standard	secondary
3k_main_campaign_map	10184	3k_main_anping_capital	3k_districts	secondary
3k_main_campaign_map	10189	3k_main_anping_resource_1	3k_resource_wood_livestock	primary
3k_main_campaign_map	10206	3k_main_badong_capital	3k_city	primary
3k_main_campaign_map	10213	3k_main_badong_capital	3k_districts_port	secondary
3k_main_campaign_map	10226	3k_main_badong_resource_1	3k_resource_fire_iron	primary
3k_main_campaign_map	1023672673	3k_dlc06_shangdang_resource_2	ironic_province_sili_standard	secondary
3k_main_campaign_map	10244	3k_main_badong_resource_2	3k_resource_wood_lumber_bamboo	primary
3k_main_campaign_map	10263	3k_main_bajun_capital	3k_city	primary
3k_main_campaign_map	10268	3k_main_bajun_capital	3k_districts_port	secondary
3k_main_campaign_map	10281	3k_main_bajun_resource_1	3k_resource_wood_farms_grain	primary
3k_main_campaign_map	10288	3k_main_baxi_capital	3k_city	primary
3k_main_campaign_map	1028955971	3k_main_cangwu_resource_2	ironic_province_jiao_standard	secondary
3k_main_campaign_map	10295	3k_main_baxi_capital	3k_districts	secondary
3k_main_campaign_map	10304	3k_main_baxi_resource_1	3k_resource_metal_tools	primary
3k_main_campaign_map	10319	3k_main_baxi_resource_2	3k_resource_wood_farms_grain	primary
3k_main_campaign_map	10336	3k_main_beihai_capital	3k_city	primary
3k_main_campaign_map	10338	3k_main_beihai_capital	3k_districts	secondary
3k_main_campaign_map	10340	3k_main_beihai_resource_1	3k_resource_wood_livestock	primary
3k_main_campaign_map	10346	3k_main_bohai_capital	3k_city	primary
3k_main_campaign_map	10350	3k_main_bohai_capital	3k_districts	secondary
3k_main_campaign_map	10358	3k_main_bohai_resource_1	3k_resource_wood_fish	primary
3k_main_campaign_map	10374	3k_main_cangwu_capital	3k_city	primary
3k_main_campaign_map	10383	3k_main_cangwu_capital	3k_districts_port	secondary
3k_main_campaign_map	10392	3k_main_cangwu_resource_1	3k_resource_wood_farms_rice	primary
3k_main_campaign_map	10404	3k_main_cangwu_resource_2	3k_resource_wood_lumber_bamboo	primary
3k_main_campaign_map	10421	3k_main_cangwu_resource_3	3k_resource_wood_livestock	primary
3k_main_campaign_map	104272737	3k_main_daijun_resource_1	ironic_province_you_xianbei	secondary
3k_main_campaign_map	1043403	3k_main_lujiang_resource_2	ironic_province_yang_standard	secondary
3k_main_campaign_map	10439	3k_main_changan_capital	3k_city	primary
3k_main_campaign_map	10443	3k_main_changan_capital	3k_districts	secondary
3k_main_campaign_map	10446	3k_main_changan_resource_1	3k_resource_metal_jade	primary
3k_main_campaign_map	10454	3k_main_changsha_capital	3k_city	primary
3k_main_campaign_map	10461	3k_main_changsha_capital	3k_districts	secondary
3k_main_campaign_map	10464	3k_main_changsha_resource_1	3k_resource_water_trading_port	primary
3k_main_campaign_map	10477	3k_main_changsha_resource_2	3k_resource_metal_craftsmen_armour	primary
3k_main_campaign_map	10482	3k_main_changsha_resource_3	3k_resource_wood_tea	primary
3k_main_campaign_map	10489	3k_main_chengdu_capital	3k_city	primary
3k_main_campaign_map	10497	3k_main_chengdu_capital	3k_districts	secondary
3k_main_campaign_map	10504	3k_main_chengdu_resource_1	3k_resource_metal_craftsmen_armour	primary
3k_main_campaign_map	10515	3k_main_chengdu_resource_2	3k_resource_wood_farms_grain	primary
3k_main_campaign_map	10527	3k_main_chengdu_resource_3	3k_resource_water_salt	primary
3k_main_campaign_map	1053565689	3k_main_anding_resource_3	ironic_province_yong_xiliang	secondary
3k_main_campaign_map	10541	3k_main_chenjun_capital	3k_city	primary
3k_main_campaign_map	10545	3k_main_chenjun_capital	3k_districts	secondary
3k_main_campaign_map	10546	3k_main_chenjun_resource_1	3k_city	primary
3k_main_campaign_map	10553	3k_main_chenjun_resource_2	3k_resource_wood_farms_grain	primary
3k_main_campaign_map	10569	3k_main_chenjun_resource_3	3k_resource_wood_lumber_pine	primary
3k_main_campaign_map	10574	3k_main_daijun_capital	3k_city	primary
