campaign	id	region	slot_template	slot_type
#start_pos_region_slot_templates_tables;0;db/start_pos_region_slot_templates_tables/data_3k_dlc05_start_pos				
3k_dlc05_start_pos	1000710877	3k_main_shoufang_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	1003643637	3k_main_jingzhou_capital	3k_province_capital_port	port
3k_dlc05_start_pos	1011482790	ironic_region_baek_capital	3k_province_capital_port	port
3k_dlc05_start_pos	1011677141	3k_main_zangke_resource_1	3k_resource_wood_tea	primary
3k_dlc05_start_pos	1012245735	3k_main_yanmen_capital	3k_city	primary
3k_dlc05_start_pos	1013124396	3k_main_xihe_resource_1	3k_minor_port	port
3k_dlc05_start_pos	1022444670	3k_main_runan_capital	3k_districts	secondary
3k_dlc05_start_pos	1023023970	3k_dlc06_yunnan_resource_2	3k_resource_wood_lumber_pine	primary
3k_dlc05_start_pos	1031506382	3k_main_wudu_capital	3k_city	primary
3k_dlc05_start_pos	1033944201	3k_main_xiangyang_capital	3k_city	primary
3k_dlc05_start_pos	1036914091	3k_main_pingyuan_resource_1	3k_resource_water_salt	primary
3k_dlc05_start_pos	1037655362	ironic_region_hanseong_resource_1	3k_resource_water_trading_port	primary
3k_dlc05_start_pos	1052455451	3k_main_yangzhou_capital	3k_city	primary
3k_dlc05_start_pos	1058674086	3k_main_youbeiping_capital	3k_districts	secondary
3k_dlc05_start_pos	1059460427	3k_main_luling_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	1073547856	3k_main_xindu_resource_2	3k_minor_port	port
3k_dlc05_start_pos	1081547598	3k_main_chengdu_resource_3	3k_resource_water_salt	primary
3k_dlc05_start_pos	1084047695	3k_main_chenjun_capital	3k_city	primary
3k_dlc05_start_pos	1088176457	3k_main_lingling_resource_2	3k_resource_wood_lumber_bamboo	primary
3k_dlc05_start_pos	109200939	3k_main_wudu_resource_2	3k_resource_bandit	secondary
3k_dlc05_start_pos	1098919790	3k_main_henei_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	1100649673	ironic_region_baek_resource_1	3k_resource_wood_lumber_pine	primary
3k_dlc05_start_pos	1106493146	3k_main_yizhou_island_resource_1	3k_resource_wood_fish	primary
3k_dlc05_start_pos	1107043184	3k_main_changsha_capital	3k_city	primary
3k_dlc05_start_pos	1107356802	3k_main_anping_capital	3k_city	primary
3k_dlc05_start_pos	1110450056	3k_main_shangyong_capital	3k_city	primary
3k_dlc05_start_pos	1111176254	3k_main_yuzhang_resource_1	3k_resource_wood_farms_rice	primary
3k_dlc05_start_pos	1114052751	3k_main_chengdu_resource_1	3k_resource_metal_craftsmen_armour	primary
3k_dlc05_start_pos	1117476626	3k_main_kuaiji_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	1117751825	3k_main_chengdu_resource_3	3k_resource_bandit	secondary
3k_dlc05_start_pos	1121117499	3k_main_lujiang_capital	3k_city	primary
3k_dlc05_start_pos	1121413967	3k_main_bajun_capital	3k_city	primary
3k_dlc05_start_pos	1125699196	3k_main_bajun_capital	3k_province_capital_port	port
3k_dlc05_start_pos	1126114701	3k_dlc06_yongchang_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	1140279459	ironic_region_ye_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	114494459	ironic_region_xiping_resource_2	3k_resource_bandit	secondary
3k_dlc05_start_pos	1148639807	3k_main_hepu_resource_1	3k_resource_bandit	secondary
3k_dlc05_start_pos	1151246179	3k_main_dongjun_capital	3k_city	primary
3k_dlc05_start_pos	1153364476	3k_main_penchang_capital	3k_city	primary
3k_dlc05_start_pos	1155574050	ironic_region_xi_capital	3k_city	primary
3k_dlc05_start_pos	1157984172	3k_main_xindu_resource_2	3k_resource_bandit	secondary
