campaign	id	region	slot_template	slot_type
#start_pos_region_slot_templates_tables;0;db/start_pos_region_slot_templates_tables/data_3k_dlc07_start_pos				
3k_dlc07_start_pos	1006733083	ironic_region_hyunto_resource_1	3k_resource_bandit	secondary
3k_dlc07_start_pos	1014792408	3k_main_nanyang_resource_1	3k_resource_bandit	secondary
3k_dlc07_start_pos	1022067277	3k_main_hepu_resource_2	3k_resource_bandit	secondary
3k_dlc07_start_pos	1024669160	3k_main_yingchuan_capital	3k_city	primary
3k_dlc07_start_pos	1026392147	ironic_region_gyeongju_resource_1	3k_resource_wood_livestock	primary
3k_dlc07_start_pos	1026574963	3k_main_langye_resource_2	3k_resource_bandit	secondary
3k_dlc07_start_pos	1032394248	3k_main_chenjun_resource_1	3k_city	primary
3k_dlc07_start_pos	1032638335	ironic_region_baek_capital	3k_province_capital_port	port
3k_dlc07_start_pos	1038941247	3k_main_runan_resource_1	3k_resource_bandit	secondary
3k_dlc07_start_pos	1041368294	3k_main_guangling_capital	3k_city	primary
3k_dlc07_start_pos	1042710205	ironic_region_dongye_capital	3k_city	primary
3k_dlc07_start_pos	1043213695	3k_main_yangzhou_resource_2	3k_resource_bandit	secondary
3k_dlc07_start_pos	104493101	3k_main_anding_resource_3	3k_resource_wood_livestock	primary
3k_dlc07_start_pos	1052100822	3k_main_donglai_capital	3k_city	primary
3k_dlc07_start_pos	1054150062	3k_main_wudu_resource_2	3k_resource_bandit	secondary
3k_dlc07_start_pos	1067191339	3k_main_youbeiping_resource_1	3k_resource_bandit	secondary
3k_dlc07_start_pos	1067369412	3k_main_nanhai_resource_1	3k_resource_wood_farms_rice	primary
3k_dlc07_start_pos	1068679034	3k_dlc06_xiapi_resource_1	3k_resource_wood_farms_grain	primary
3k_dlc07_start_pos	1075392795	3k_main_yizhou_island_resource_1	3k_resource_wood_fish	primary
3k_dlc07_start_pos	1077154188	3k_main_beihai_capital	3k_districts	secondary
3k_dlc07_start_pos	1078637657	3k_main_daijun_resource_1	3k_resource_bandit	secondary
3k_dlc07_start_pos	1082314341	3k_main_hepu_capital	3k_city	primary
3k_dlc07_start_pos	1101559482	3k_dlc06_yongchang_resource_1	3k_resource_bandit	secondary
3k_dlc07_start_pos	1104140906	3k_main_changsha_resource_2	3k_resource_metal_craftsmen_armour	primary
3k_dlc07_start_pos	1111789244	3k_main_yanmen_resource_1	3k_resource_wood_lumber_pine	primary
3k_dlc07_start_pos	1116253783	3k_main_yuzhang_capital	3k_districts	secondary
3k_dlc07_start_pos	1117764032	3k_main_kuaiji_resource_2	3k_resource_wood_livestock	primary
3k_dlc07_start_pos	1119040849	3k_main_poyang_resource_3	3k_resource_bandit	secondary
3k_dlc07_start_pos	1131674332	3k_main_dongou_resource_1	3k_resource_water_salt	primary
3k_dlc07_start_pos	1131750243	3k_main_bohai_capital	3k_districts	secondary
3k_dlc07_start_pos	1137432194	3k_main_gaoliang_capital	3k_city	primary
3k_dlc07_start_pos	1139937766	3k_main_youzhou_capital	3k_districts	secondary
3k_dlc07_start_pos	1140803101	3k_main_zhongshan_capital	3k_city	primary
3k_dlc07_start_pos	114521596	3k_main_jincheng_resource_1	3k_resource_fire_northern_horses	primary
3k_dlc07_start_pos	1145363110	3k_main_beihai_capital	3k_city	primary
3k_dlc07_start_pos	1147535673	3k_main_changsha_resource_1	3k_resource_water_trading_port	primary
3k_dlc07_start_pos	1148762473	3k_main_nanhai_resource_2	3k_minor_port	port
3k_dlc07_start_pos	1151712651	3k_dlc06_kui_pass	ironic_gate_buildings	secondary
3k_dlc07_start_pos	1155092318	3k_main_fuling_capital	3k_dlc06_city_nanman	primary
3k_dlc07_start_pos	1156199155	3k_main_anping_resource_1	3k_resource_wood_livestock	primary
