campaign_key	frontend_faction	frontend_faction_leader	is_default
#frontend_faction_to_frontend_faction_leaders_tables;0;db/frontend_faction_to_frontend_faction_leaders_tables/gaogan			
3k_main_campaign_map	3k_main_faction_gao_gan	ironic_main_gao_gan_faction_leader	true
3k_main_campaign_map	3k_dlc04_faction_liang_rebels	ironic_main_song_jian_faction_leader	true
3k_main_campaign_map	3k_main_faction_han_sui	ironic_main_han_sui_faction_leader	true
3k_main_campaign_map	ironic_faction_xiongnu_tribes	ironic_main_xiongnu_faction_leader	true
3k_main_campaign_map	ironic_faction_wuhuan_tribes	ironic_main_wuhuan_faction_leader	true
3k_main_campaign_map	3k_dlc05_faction_sun_ce	ironic_main_sun_ce_faction_leader	true
3k_main_campaign_map	3k_main_faction_liu_yu	3k_main_political_party_liu_yu_190	true
3k_main_campaign_map	3k_main_faction_wang_kuang	3k_main_political_party_wang_kuang_190	true
3k_main_campaign_map	3k_main_faction_zhang_yang	3k_main_political_party_zhang_yang_190	true
3k_main_campaign_map	3k_dlc05_faction_yang_feng	3k_main_political_party_yang_feng_190	true
3k_main_campaign_map	3k_main_faction_gongsun_du	3k_main_political_party_gongsun_du_190	true
3k_main_campaign_map	3k_main_faction_liu_dai	3k_main_political_party_liu_dai_190	true
3k_main_campaign_map	3k_dlc04_faction_ying_shao	3k_main_political_party_ying_shao_190	true
3k_main_campaign_map	3k_dlc04_faction_chen_gui	3k_main_political_party_chen_gui_190	true
3k_main_campaign_map	3k_main_faction_zhai_rong	3k_main_political_party_ze_rong_190	true
3k_main_campaign_map	3k_main_faction_zhang_chao	3k_main_political_party_zhang_chao_190	true
3k_main_campaign_map	ironic_faction_chen_wen	3k_main_political_party_chen_wen_190	true
3k_main_campaign_map	ironic_faction_bian_rang	3k_main_political_party_bian_rang_190	true
3k_main_campaign_map	3k_dlc04_faction_lu_kang	3k_main_political_party_lu_kang_190	true
3k_main_campaign_map	3k_main_faction_zhang_lu	3k_main_political_party_zhang_lu_190	true
3k_main_campaign_map	3k_main_faction_jia_long	3k_main_political_party_jia_long_190	true
3k_main_campaign_map	3k_main_faction_liu_yao	3k_main_political_party_liu_yao_190	true
