campaign_key	frontend_faction	frontend_faction_leader	is_default
#frontend_faction_to_frontend_faction_leaders_tables;0;db/frontend_faction_to_frontend_faction_leaders_tables/data__			
3k_dlc04_start_pos	3k_dlc04_faction_empress_he	3k_dlc04_political_party_empress_he_ruler	true
3k_dlc04_start_pos	3k_dlc04_faction_lu_zhi	3k_dlc04_political_party_lu_zhi_ruler	true
3k_main_campaign_map	3k_dlc04_faction_prince_liu_chong	3k_dlc04_main_political_party_prince_liu_chong_ruler	false
3k_dlc04_start_pos	3k_dlc04_faction_prince_liu_chong	3k_dlc04_political_party_prince_liu_chong_ruler	true
3k_dlc05_start_pos	3k_dlc04_faction_prince_liu_chong	3k_dlc05_political_party_prince_liu_chong_ruler	false
3k_dlc04_start_pos	3k_dlc04_faction_zhang_bao	3k_dlc04_political_party_zhang_bao_ruler	true
3k_dlc04_start_pos	3k_dlc04_faction_zhang_jue	3k_dlc04_political_party_zhang_jue_ruler	true
3k_dlc04_start_pos	3k_dlc04_faction_zhang_liang	3k_dlc04_political_party_zhang_liang_ruler	true
3k_dlc05_start_pos	3k_dlc05_faction_sun_ce	3k_dlc05_political_party_sun_ce_ruler	true
3k_dlc07_start_pos	3k_dlc05_faction_sun_ce	3k_dlc07_political_party_sun_ce_ruler	false
3k_dlc05_start_pos	3k_dlc05_faction_white_tiger_yan	3k_dlc05_political_party_white_tiger_yan_ruler	true
3k_main_campaign_map	3k_dlc05_faction_white_tiger_yan	3k_main_political_party_white_tiger_yan_ruler	false
3k_main_campaign_map	3k_dlc06_faction_nanman_king_meng_huo	3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	true
3k_dlc05_start_pos	3k_dlc06_faction_nanman_king_meng_huo	3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	false
3k_dlc07_start_pos	3k_dlc06_faction_nanman_king_meng_huo	3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	false
3k_main_campaign_map	3k_dlc06_faction_nanman_king_mulu	3k_dlc06_political_party_nanman_king_mulu_ruler_190	true
3k_dlc05_start_pos	3k_dlc06_faction_nanman_king_mulu	3k_dlc06_political_party_nanman_king_mulu_ruler_194	false
3k_dlc07_start_pos	3k_dlc06_faction_nanman_king_mulu	3k_dlc06_political_party_nanman_king_mulu_ruler_198	false
3k_main_campaign_map	3k_dlc06_faction_nanman_king_shamoke	3k_dlc06_political_party_nanman_king_shamoke_ruler_190	true
3k_dlc05_start_pos	3k_dlc06_faction_nanman_king_shamoke	3k_dlc06_political_party_nanman_king_shamoke_ruler_194	false
3k_dlc07_start_pos	3k_dlc06_faction_nanman_king_shamoke	3k_dlc06_political_party_nanman_king_shamoke_ruler_198	false
3k_main_campaign_map	3k_dlc06_faction_nanman_lady_zhurong	3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	true
3k_dlc05_start_pos	3k_dlc06_faction_nanman_lady_zhurong	3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	false
3k_dlc04_start_pos	3k_main_faction_cao_cao	3k_dlc04_political_party_cao_cao_ruler	false
3k_dlc05_start_pos	3k_main_faction_cao_cao	3k_dlc05_political_party_cao_cao_ruler	false
3k_dlc07_start_pos	3k_main_faction_cao_cao	3k_dlc07_political_party_cao_cao_ruler	false
3k_main_campaign_map	3k_main_faction_cao_cao	3k_main_political_party_cao_cao_ruler	true
3k_dlc04_start_pos	3k_main_faction_dong_zhuo	3k_dlc04_political_party_dong_zhuo_ruler	false
3k_main_campaign_map	3k_main_faction_dong_zhuo	3k_main_political_party_dong_zhuo_ruler	true
3k_dlc05_start_pos	3k_main_faction_gongsun_zan	3k_dlc05_political_party_gongsun_zan_ruler	false
3k_main_campaign_map	3k_main_faction_gongsun_zan	3k_main_political_party_gongsun_zan_ruler	true
3k_dlc05_start_pos	3k_main_faction_kong_rong	3k_dlc05_political_party_kong_rong_ruler	false
3k_main_campaign_map	3k_main_faction_kong_rong	3k_main_political_party_kong_rong_ruler	true
3k_dlc04_start_pos	3k_main_faction_liu_bei	3k_dlc04_political_party_liu_bei_ruler	false
3k_dlc05_start_pos	3k_main_faction_liu_bei	3k_dlc05_political_party_liu_bei_ruler	false
3k_dlc07_start_pos	3k_main_faction_liu_bei	3k_dlc07_political_party_liu_bei_ruler	false
3k_main_campaign_map	3k_main_faction_liu_bei	3k_main_political_party_liu_bei_ruler	true
3k_dlc04_start_pos	3k_main_faction_liu_biao	3k_dlc04_political_party_liu_biao_ruler	false
3k_dlc05_start_pos	3k_main_faction_liu_biao	3k_dlc05_political_party_liu_biao_ruler	false
3k_dlc07_start_pos	3k_main_faction_liu_biao	3k_dlc07_political_party_liu_biao_ruler	false
3k_main_campaign_map	3k_main_faction_liu_biao	3k_main_political_party_liu_biao_ruler	true
3k_dlc05_start_pos	3k_main_faction_liu_yan	3k_dlc05_political_party_liu_yan_ruler	false
3k_dlc07_start_pos	3k_main_faction_liu_yan	3k_dlc07_political_party_liu_zhang_ruler	true
3k_main_campaign_map	3k_main_faction_liu_yan	3k_main_political_party_liu_yan_ruler	false
3k_dlc05_start_pos	3k_main_faction_lu_bu	3k_dlc05_political_party_lu_bu_ruler	true
3k_dlc04_start_pos	3k_main_faction_ma_teng	3k_dlc04_political_party_ma_teng_ruler	false
3k_dlc05_start_pos	3k_main_faction_ma_teng	3k_dlc05_political_party_ma_teng_ruler	false
3k_dlc07_start_pos	3k_main_faction_ma_teng	3k_dlc07_political_party_ma_teng_ruler	false
3k_main_campaign_map	3k_main_faction_ma_teng	3k_main_political_party_ma_teng_ruler	true
3k_main_campaign_map	3k_main_faction_shi_xie	3k_dlc06_political_party_shi_xie_ruler_190	true
3k_dlc05_start_pos	3k_main_faction_shi_xie	3k_dlc06_political_party_shi_xie_ruler_194	false
3k_dlc07_start_pos	3k_main_faction_shi_xie	3k_dlc06_political_party_shi_xie_ruler_198	false
3k_dlc04_start_pos	3k_main_faction_sun_jian	3k_dlc04_political_party_sun_jian_ruler	false
3k_main_campaign_map	3k_main_faction_sun_jian	3k_main_political_party_sun_jian_ruler	true
3k_dlc04_start_pos	3k_main_faction_tao_qian	3k_dlc04_political_party_tao_qian_ruler	false
3k_main_campaign_map	3k_main_faction_tao_qian	3k_main_political_party_tao_qian_ruler	true
3k_dlc07_start_pos	3k_main_faction_yellow_turban_anding	3k_dlc07_political_party_yellow_anding_ruler	false
3k_main_campaign_map	3k_main_faction_yellow_turban_anding	3k_main_political_party_yellow_anding_ruler	true
3k_dlc05_start_pos	3k_main_faction_yellow_turban_rebels	3k_dlc05_political_party_yellow_turban_ruler	false
3k_main_campaign_map	3k_main_faction_yellow_turban_rebels	3k_main_political_party_yellow_turban_ruler	true
3k_main_campaign_map	3k_main_faction_yellow_turban_taishan	3k_main_political_party_yellow_taishan_ruler	true
3k_dlc05_start_pos	3k_main_faction_yuan_shao	3k_dlc05_political_party_yuan_shao_ruler	false
3k_dlc07_start_pos	3k_main_faction_yuan_shao	3k_dlc07_political_party_yuan_shao_ruler	true
3k_main_campaign_map	3k_main_faction_yuan_shao	3k_main_political_party_yuan_shao_ruler	true
3k_dlc04_start_pos	3k_main_faction_yuan_shu	3k_dlc04_political_party_yuan_shu_ruler	false
3k_dlc05_start_pos	3k_main_faction_yuan_shu	3k_dlc05_political_party_yuan_shu_ruler	false
3k_main_campaign_map	3k_main_faction_yuan_shu	3k_main_political_party_yuan_shu_ruler	true
3k_dlc05_start_pos	3k_main_faction_zhang_yan	3k_dlc05_political_party_zhang_yan_ruler	false
3k_dlc07_start_pos	3k_main_faction_zhang_yan	3k_dlc07_political_party_zhang_yan_ruler	false
3k_main_campaign_map	3k_main_faction_zhang_yan	3k_main_political_party_zhang_yan_ruler	true
3k_dlc05_start_pos	3k_main_faction_zheng_jiang	3k_dlc05_political_party_zheng_jiang_ruler	false
3k_dlc07_start_pos	3k_main_faction_zheng_jiang	3k_dlc07_political_party_zheng_jiang_ruler	false
3k_main_campaign_map	3k_main_faction_zheng_jiang	3k_main_political_party_zheng_jiang_ruler	true
