campaign_key	frontend_faction	frontend_faction_leader	is_default
#frontend_faction_to_frontend_faction_leaders_tables;0;db/frontend_faction_to_frontend_faction_leaders_tables/gathering			
8p_start_pos	3k_main_faction_cao_cao	3k_main_political_party_cao_cao_ruler	false
8p_start_pos	3k_main_faction_sun_jian	3k_dlc05_political_party_sun_ce_ruler	false
8p_start_pos	3k_dlc05_faction_sun_ce	3k_dlc05_political_party_sun_ce_ruler	false
8p_start_pos	3k_main_faction_yuan_shao	3k_main_political_party_yuan_shao_ruler	false
8p_start_pos	3k_main_faction_gongsun_du	3k_main_political_party_gongsun_du_190	false
8p_start_pos	3k_main_faction_gongsun_zan	3k_main_political_party_gongsun_zan_ruler	false
8p_start_pos	3k_main_faction_liu_yan	3k_main_political_party_liu_yan_ruler	false
8p_start_pos	3k_main_faction_liu_bei	3k_main_political_party_liu_bei_ruler	false
8p_start_pos	ironic_faction_xianbei_tuoba	3k_main_political_party_xianbei_tuoba_190	false
8p_start_pos	ironic_faction_wuhuan_tribes	ironic_main_wuhuan_faction_leader	false
8p_start_pos	3k_main_faction_liu_yu	3k_main_political_party_liu_yu_190	false
8p_start_pos	3k_main_faction_han_fu	3k_main_political_party_han_fu_190	false
8p_start_pos	3k_dlc04_faction_zhang_jue	3k_dlc04_political_party_zhang_jue_ruler	false
8p_start_pos	3k_dlc04_faction_zhang_bao	3k_dlc04_political_party_zhang_bao_ruler	false
8p_start_pos	3k_dlc04_faction_zhang_liang	3k_dlc04_political_party_zhang_liang_ruler	false
8p_start_pos	3k_dlc04_faction_lu_zhi	3k_dlc04_political_party_lu_zhi_ruler	false
8p_start_pos	3k_main_faction_yellow_turban_taishan	3k_main_political_party_yellow_taishan_ruler	false
8p_start_pos	3k_main_faction_gao_gan	ironic_main_gao_gan_faction_leader	false
8p_start_pos	3k_main_faction_zhang_yang	3k_main_political_party_zhang_yang_190	false
8p_start_pos	3k_main_faction_zhang_yan	3k_main_political_party_zhang_yan_ruler	false
8p_start_pos	3k_main_faction_wang_kuang	3k_main_political_party_wang_kuang_190	false
8p_start_pos	3k_main_faction_lu_bu	3k_main_political_party_lu_bu_190	false
8p_start_pos	3k_dlc04_faction_prince_liu_chong	3k_dlc04_main_political_party_prince_liu_chong_ruler	false
8p_start_pos	3k_main_faction_yuan_shu	3k_main_political_party_yuan_shu_ruler	false
8p_start_pos	3k_main_faction_liu_dai	3k_main_political_party_liu_dai_190	false
8p_start_pos	3k_main_faction_zheng_jiang	3k_main_political_party_zheng_jiang_ruler	false
8p_start_pos	3k_main_faction_tao_qian	3k_main_political_party_tao_qian_ruler	false
8p_start_pos	3k_main_faction_yellow_turban_rebels	3k_main_political_party_yellow_turban_ruler	false
8p_start_pos	3k_main_faction_kong_rong	3k_main_political_party_kong_rong_ruler	false
8p_start_pos	3k_dlc04_faction_ying_shao	3k_main_political_party_ying_shao_190	false
8p_start_pos	3k_dlc04_faction_chen_gui	3k_main_political_party_chen_gui_190	false
8p_start_pos	3k_main_faction_zhai_rong	3k_main_political_party_ze_rong_190	false
8p_start_pos	3k_main_faction_zhang_chao	3k_main_political_party_zhang_chao_190	false
8p_start_pos	ironic_faction_chen_wen	3k_main_political_party_chen_wen_190	false
8p_start_pos	3k_dlc04_faction_lu_kang	3k_main_political_party_lu_kang_190	false
8p_start_pos	3k_main_faction_kong_zhou	3k_main_political_party_kong_zhou_190	false
8p_start_pos	3k_main_faction_yellow_turban_anding	3k_main_political_party_yellow_anding_ruler	false
8p_start_pos	3k_main_faction_huang_zu	3k_main_political_party_huang_zu_190	false
8p_start_pos	3k_main_faction_cai_mao	3k_main_political_party_cai_mao_190	false
8p_start_pos	3k_main_faction_liu_biao	3k_main_political_party_liu_biao_ruler	false
