key	location	ownership	target	territory	send_to_location_only_if_adult	only_display_in_tooltip
#campaign_effect_scopes_tables;4;db/campaign_effect_scopes_tables/data__						
army_to_army_own	forcewide	yours	army	any	true	true
building_to_adjacent_faction_province	neighbour_faction_province	yours	army	yours	true	false
building_to_building_own	buildingwide	yours	building	any	true	true
building_to_character_all_provincewide	provincewide	any	character_if_adult	any	true	false
building_to_character_factionwide	factionwide	yours	character_if_adult	any	true	false
building_to_character_own_adjacent	neighbour_faction_province	yours	character_when_commanding	any	true	false
building_to_character_own_factionwide_retinue_effects	factionwide	yours	character_if_adult	any	true	false
building_to_character_own_provincewide	provincewide	yours	character_if_adult	any	true	false
building_to_character_own_provincewide_retinue_effects	provincewide	yours	character_if_adult	any	true	false
building_to_character_own_provincewide_unseen	provincewide	yours	character_if_adult	yours	true	true
building_to_faction_unseen	factionwide	yours	faction	any	true	true
building_to_force_own_factionwide	factionwide	yours	force	any	true	false
building_to_force_own_provincewide	provincewide	yours	force	any	true	false
building_to_force_own_provincewide_unseen	provincewide	yours	force	yours	true	true
building_to_force_own_regionwide	regionwide	yours	force	yours	true	false
building_to_province_enemy_adjacent	neighbour_faction_province	enemy	province	enemy	true	false
building_to_province_own_adjacent	neighbour_faction_province	yours	province	any	true	false
building_to_province_own_dummy_scope_mercenaries	provincewide	yours	region	any	true	false
building_to_region_own_province_capitals_only	regionwide	yours	region	any	true	false
building_to_sea_region_own	sea_regionwide	yours	sea_region	any	true	true
building_to_sea_region_own_provincewide	provincewide	yours	sea_region	any	true	true
building_to_undercover_character_own_factionwide	factionwide	yours	owned_undercover_character	any	true	false
character_minister_to_character_factionwide	factionwide_when_minister	yours	character_if_adult	any	true	false
character_minister_to_character_factionwide_alternative	factionwide_when_minister_alternative	yours	character_if_adult	any	true	false
character_minister_to_character_factionwide_unseen	factionwide_when_minister	yours	character_if_adult	any	true	true
character_minister_to_character_factionwide_unseen_alternative	factionwide_when_minister_alternative	yours	character_if_adult	any	true	true
character_minister_to_character_undercover_factionwide	factionwide_when_minister	yours	owned_undercover_character	any	true	false
character_minister_to_faction	factionwide_when_minister	yours	faction	any	true	false
character_minister_to_faction_alternative	factionwide_when_minister_alternative	yours	faction	any	true	false
character_minister_to_faction_to_character_own_territory_yours	factionwide_when_minister	yours	character_if_adult	yours	true	false
character_minister_to_faction_to_character_own_territory_yours_alternative	factionwide_when_minister_alternative	yours	character_if_adult	yours	true	false
character_minister_to_faction_to_character_own_territory_yours_unseen	factionwide_when_minister	yours	character_if_adult	yours	true	true
character_minister_to_faction_to_character_own_territory_yours_unseen_alternative	factionwide_when_minister_alternative	yours	character_if_adult	yours	true	true
character_minister_to_faction_unseen	factionwide_when_minister	yours	faction	any	true	true
character_minister_to_faction_unseen_alternative	factionwide_when_minister_alternative	yours	faction	any	true	true
character_minister_to_force_factionwide	factionwide_when_minister	yours	force	any	true	false
character_minister_to_force_factionwide_alternative	factionwide_when_minister_alternative	yours	force	any	true	false
character_minister_to_force_factionwide_unseen	factionwide_when_minister	yours	force	any	true	true
character_minister_to_force_factionwide_unseen_alternative	factionwide_when_minister_alternative	yours	force	any	true	true
character_minister_to_force_hostile_factionwide	factionwide_when_minister	enemy	force	yours	true	false
character_minister_to_force_hostile_factionwide_alternative	factionwide_when_minister_alternative	enemy	force	yours	true	false
character_minister_to_force_hostile_factionwide_unseen	factionwide_when_minister	enemy	force	yours	true	true
character_minister_to_force_hostile_factionwide_unseen_alternative	factionwide_when_minister_alternative	enemy	force	yours	true	true
character_minister_to_province_factionwide	factionwide_when_minister	yours	province	any	true	false
character_minister_to_province_factionwide_alternative	factionwide_when_minister_alternative	yours	province	any	true	false
character_minister_to_province_factionwide_unseen	factionwide_when_minister	yours	province	any	true	true
character_minister_to_province_factionwide_unseen_alternative	factionwide_when_minister_alternative	yours	province	any	true	true
character_minister_to_region_factionwide	factionwide_when_minister	yours	region	any	true	false
character_minister_to_region_factionwide_alternative	factionwide_when_minister_alternative	yours	region	any	true	false
character_minister_to_region_factionwide_unseen	factionwide_when_minister	yours	region	any	true	true
character_minister_to_region_factionwide_unseen_alternative	factionwide_when_minister_alternative	yours	region	any	true	true
character_to_character_any_in_adjacent_province	neighbour_faction_province	any	character_if_adult	any	true	false
character_to_character_any_provincewide	provincewide	any	character_if_adult	any	true	false
character_to_character_any_provincewide_when_governor	provincewide_when_governor	any	character_if_adult	any	true	false
character_to_character_own	character	yours	character_if_adult	any	true	true
character_to_character_own_factionwide	factionwide	yours	character_if_adult	any	true	false
character_to_character_own_forcewide	forcewide	yours	character_if_adult	any	true	false
character_to_character_own_heir_dummy	character	yours	character_if_adult	any	true	false
character_to_character_own_provincewide_when_governor	provincewide_when_governor	yours	character_if_adult	yours	true	false
character_to_character_own_regionwide_enemy	regionwide	yours	character_if_adult	enemy	true	false
character_to_character_own_retinue	character	yours	character_if_adult	any	true	false
character_to_character_own_this_character	character	yours	character_if_adult	any	true	false
character_to_character_own_when_commanding	forcewide_when_commanding	yours	character_if_adult	any	true	false
character_to_character_own_when_present	character	yours	character_if_adult	any	true	false
character_to_character_provincewide	provincewide	yours	character_if_adult	any	true	false
character_to_character_regionwide	regionwide	yours	character_if_adult	any	true	false
character_to_character_undercover_own_factionwide	factionwide	yours	owned_undercover_character	any	true	false
character_to_character_when_commanding_navy_own	character	yours	character_if_adult	any	true	false
character_to_faction	factionwide	yours	faction	any	true	false
character_to_faction_own_allied_territory	factionwide	yours	faction	allied	true	true
character_to_faction_own_enemy_territory	factionwide	yours	faction	enemy	true	true
character_to_faction_own_neutral_territory	factionwide	yours	faction	neutral	true	true
character_to_faction_unseen	factionwide	yours	faction	any	true	true
character_to_force_allied_in_adjacent_province	neighbour_faction_province	allied	force	any	true	false
character_to_force_allied_provincewide	provincewide	allied	force	any	true	false
character_to_force_any_in_adjacent_province	neighbour_faction_province	any	force	any	true	false
character_to_force_enemy	forcewide	enemy	force	any	true	false
character_to_force_enemy_in_adjacent_province	neighbour_faction_province	enemy	force	any	true	false
character_to_force_enemy_provincewide	provincewide	enemy	force	any	true	false
character_to_force_enemy_provincewide_when_governor	provincewide_when_governor	enemy	force	any	true	false
character_to_force_enemy_regionwide	regionwide	enemy	force	any	true	false
character_to_force_own	forcewide	yours	force	any	true	false
character_to_force_own_enemy_territory	forcewide	yours	force	enemy	true	false
character_to_force_own_enemy_territory_unseen_when_commanding	forcewide_when_commanding	yours	force	enemy	true	true
character_to_force_own_enemy_territory_when_commanding	forcewide_when_commanding	yours	force	enemy	true	false
character_to_force_own_factionwide_allied_territory	factionwide	yours	force	allied	true	false
character_to_force_own_heir_dummy	forcewide	yours	force	any	true	false
character_to_force_own_in_adjacent_province	neighbour_faction_province	yours	force	any	true	false
character_to_force_own_provincewide	provincewide	yours	force	any	true	false
character_to_force_own_provincewide_when_governor	provincewide_when_governor	yours	army	any	true	false
character_to_force_own_unseen	forcewide	yours	force	any	true	true
character_to_force_own_when_commanding	forcewide_when_commanding	yours	force	any	true	false
character_to_force_regionwide_enemy	regionwide	enemy	force	any	true	false
character_to_force_regionwide_own	regionwide	yours	force	any	true	false
character_to_military_force_retinue_own	character	yours	military_force_retinue	any	true	false
character_to_military_force_retinue_own_enemy	character	yours	military_force_retinue	enemy	true	false
