campaign_group	resource	initial_amount
#campaign_group_pooled_resources_tables;0;db/campaign_group_pooled_resources_tables/data__		
3k_dlc04_campaign_group_faction_pooled_resource_bureaucrats_influence	3k_dlc04_pooled_resource_bureaucrats_influence	0
3k_dlc04_campaign_group_faction_pooled_resource_displaced_population	3k_dlc04_pooled_resource_displaced_population	125
3k_dlc04_campaign_group_faction_pooled_resource_domain	3k_dlc04_pooled_resource_liu_biao_domain	0
3k_dlc04_campaign_group_faction_pooled_resource_dynasty_influence	3k_dlc04_pooled_resource_dynasty_influence	0
3k_dlc04_campaign_group_faction_pooled_resource_fervour	3k_dlc04_pooled_resource_fervour	500
3k_dlc04_campaign_group_faction_pooled_resource_fervour_regional	3k_dlc04_pooled_resource_fervour_regional	0
3k_dlc04_campaign_group_faction_pooled_resource_governance	3k_dlc04_pooled_resource_liu_biao_governance	5
3k_dlc04_campaign_group_faction_pooled_resource_liu_chong	3k_dlc04_pooled_resource_fortitude	40
3k_dlc04_campaign_group_faction_pooled_resource_political_influence	3k_dlc04_pooled_resource_political_influence	10
3k_dlc04_campaign_group_faction_pooled_resource_warlord_influence	3k_dlc04_pooled_resource_warlords_influence	0
3k_dlc04_campaign_group_faction_pooled_resource_yuan_shu	3k_main_pooled_resource_legitimacy	0
3k_dlc05_campaign_group_faction_pooled_resource_governance_194	3k_dlc04_pooled_resource_liu_biao_governance	150
3k_dlc05_campaign_group_faction_pooled_resource_liu_bei	3k_main_pooled_resource_unity	275
3k_dlc05_campaign_group_faction_pooled_resource_mercenary_activity	3k_dlc05_pooled_resource_mercenary_activity	40
3k_dlc05_campaign_group_faction_pooled_resource_sun_ce	3k_dlc05_pooled_resource_reckless_luck	250
3k_dlc05_campaign_group_faction_pooled_resource_sun_ce	3k_dlc05_pooled_resource_shared_expertise	60
3k_dlc05_campaign_group_faction_pooled_resource_white_tiger_confederation	3k_dlc05_pooled_resource_white_tiger_confederation	0
3k_dlc05_campaign_group_faction_pooled_resource_yuan_shu	3k_main_pooled_resource_legitimacy	160
3k_dlc05_campaign_group_pooled_resource_lu_bu	3k_dlc05_pooled_resource_lu_bu_momentum	0
3k_dlc05_campaign_group_pooled_resource_lu_bu	3k_dlc05_pooled_resource_lu_bu_personal_victories	0
3k_dlc06_campaign_group_faction_pooled_resource_mulu_pride	3k_dlc06_pooled_resource_mulu_pride	10
3k_dlc06_campaign_group_faction_pooled_resource_mulu_rituals	3k_dlc06_pooled_resource_mulu_rituals	0
3k_dlc06_campaign_group_faction_pooled_resource_nanman_lady_zhurong	3k_dlc06_pooled_resource_flaming_confinement	0
3k_dlc06_campaign_group_faction_pooled_resource_nanman_lady_zhurong	3k_dlc06_pooled_resource_goddess_of_fire	10
3k_dlc06_campaign_group_faction_pooled_resource_nanman_lady_zhurong	3k_dlc06_pooled_resource_smouldering_fire	0
3k_dlc06_campaign_group_faction_pooled_resource_shamoke_confederate	3k_dlc06_pooled_resource_shamoke_confederate	0
