frontend_faction_leader	frontend_faction_leader_unique_feature
#frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables;0;db/frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables/data__	
3k_dlc04_main_political_party_prince_liu_chong_ruler	3k_dlc04_unique_features_prince_liu_chong_chen_peacekeepers
3k_dlc04_main_political_party_prince_liu_chong_ruler	3k_dlc04_unique_features_prince_liu_chong_chen_royal_guard
3k_dlc04_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_conscription
3k_dlc04_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_garrisons
3k_dlc04_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_heavy_tiger_and_leopard_cavalry
3k_dlc04_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_schemes
3k_dlc04_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_tiger_and_leopard_cavalry
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_conscription
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_heavy_xiliang_cavalry
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_occupation_options
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_threaten
3k_dlc04_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_xiliang_cavalry
3k_dlc04_political_party_empress_he_ruler	3k_dlc04_unique_features_empress_he_imperial_court
3k_dlc04_political_party_empress_he_ruler	3k_dlc04_unique_features_empress_he_political_influence
3k_dlc04_political_party_empress_he_ruler	3k_dlc04_unique_features_empress_ye_imperial_units
3k_dlc04_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_confederate
3k_dlc04_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_dlc04_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_tax_collector
3k_dlc04_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_archers
3k_dlc04_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_marksmen
3k_dlc04_political_party_liu_biao_ruler	3k_main_unique_features_building_liu_biao_gentlemen
3k_dlc04_political_party_liu_biao_ruler	3k_main_unique_features_governors_proclamation
3k_dlc04_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_imperial_defenders
3k_dlc04_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_infantry_of_jing
3k_dlc04_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_ministerial_position
3k_dlc04_political_party_lu_zhi_ruler	3k_dlc04_unique_features_lu_zhi_assignment_teacher
3k_dlc04_political_party_lu_zhi_ruler	3k_dlc04_unique_features_lu_zhi_defenders_of_the_empire
3k_dlc04_political_party_lu_zhi_ruler	3k_dlc04_unique_features_lu_zhi_destroyers_of_traitors
3k_dlc04_political_party_lu_zhi_ruler	3k_main_unique_features_governors_proclamation
3k_dlc04_political_party_ma_teng_ruler	3k_main_unique_features_building_ma_teng_supply
3k_dlc04_political_party_ma_teng_ruler	3k_main_unique_features_governors_proclamation
3k_dlc04_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_hunters
3k_dlc04_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_marauders
3k_dlc04_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_raiders
3k_dlc04_political_party_prince_liu_chong_ruler	3k_dlc04_unique_features_prince_liu_chong_chen_peacekeepers
3k_dlc04_political_party_prince_liu_chong_ruler	3k_dlc04_unique_features_prince_liu_chong_chen_royal_guard
3k_dlc04_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_fealty
3k_dlc04_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_1
3k_dlc04_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_2
3k_dlc04_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_3
3k_dlc04_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_captain
3k_dlc04_political_party_tao_qian_ruler	3k_dlc04_unique_features_tao_qian_territorial_archers
3k_dlc04_political_party_tao_qian_ruler	3k_dlc04_unique_features_tao_qian_territorial_spearmen
3k_dlc04_political_party_yuan_shu_ruler	3k_main_unique_feature_assignment_yuan_shu_investment
3k_dlc04_political_party_yuan_shu_ruler	3k_main_unique_features_yuan_shu_decadence
3k_dlc04_political_party_yuan_shu_ruler	3k_main_unique_features_yuan_shu_rapid_tiger_infantry
3k_dlc04_political_party_yuan_shu_ruler	3k_main_unique_features_yuan_shu_warriors_of_the_left
3k_dlc04_political_party_zhang_bao_ruler	3k_dlc04_unique_features_zhang_bao_assignment_land
3k_dlc04_political_party_zhang_bao_ruler	3k_dlc04_unique_features_zhang_bao_yaoguai_hunters
3k_dlc04_political_party_zhang_bao_ruler	3k_dlc04_unique_features_zhang_bao_zealots_of_the_way
3k_dlc04_political_party_zhang_jue_ruler	3k_dlc04_unique_features_zhang_jue_assignment_heaven
3k_dlc04_political_party_zhang_jue_ruler	3k_dlc04_unique_features_zhang_jue_chosen_of_the_eight
3k_dlc04_political_party_zhang_jue_ruler	3k_dlc04_unique_features_zhang_jue_messengers_of_heaven
3k_dlc04_political_party_zhang_liang_ruler	3k_dlc04_unique_features_zhang_liang_assignment_people
3k_dlc04_political_party_zhang_liang_ruler	3k_dlc04_unique_features_zhang_liang_gallants_of_the_people
3k_dlc04_political_party_zhang_liang_ruler	3k_dlc04_unique_features_zhang_liang_tyrant_slayers
3k_dlc05_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_conscription
3k_dlc05_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_garrisons
3k_dlc05_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_heavy_tiger_and_leopard_cavalry
3k_dlc05_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_schemes
3k_dlc05_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_tiger_and_leopard_cavalry
3k_dlc05_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_military
3k_dlc05_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_white_horse_fellows
3k_dlc05_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_white_horse_raiders
3k_dlc05_political_party_kong_rong_ruler	3k_main_unique_feature_assignment_kong_rong_investment
3k_dlc05_political_party_kong_rong_ruler	3k_main_unique_features_governors_proclamation
3k_dlc05_political_party_kong_rong_ruler	3k_main_unique_features_kong_rong_fury_of_beihai
3k_dlc05_political_party_kong_rong_ruler	3k_main_unique_features_kong_rong_public_schools
3k_dlc05_political_party_kong_rong_ruler	3k_main_unique_features_kong_rong_thunder_of_jian_an
3k_dlc05_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_confederate
3k_dlc05_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_dlc05_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_tax_collector
3k_dlc05_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_archers
3k_dlc05_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_marksmen
3k_dlc05_political_party_liu_biao_ruler	3k_main_unique_features_building_liu_biao_gentlemen
3k_dlc05_political_party_liu_biao_ruler	3k_main_unique_features_governors_proclamation
3k_dlc05_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_imperial_defenders
3k_dlc05_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_infantry_of_jing
3k_dlc05_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_ministerial_position
3k_dlc05_political_party_liu_yan_ruler	3k_dlc07_unique_features_liu_yan_dongzhoubing_defenders
3k_dlc05_political_party_liu_yan_ruler	3k_dlc07_unique_features_liu_yan_dongzhoubing_marksmen
3k_dlc05_political_party_liu_yan_ruler	3k_dlc07_unique_features_liu_yan_inheritance
3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_unique_features_lu_bu_coerce
