frontend_faction_leader	frontend_faction_leader_unique_feature
#frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables;0;db/frontend_faction_leaders_to_frontend_faction_leader_unique_features_junctions_tables/@nanman_fealty_features	
3k_main_political_party_faction_nanman_ahuinan_190	ironic_unique_features_nanman_ahuinan_fealty
3k_main_political_party_faction_nanman_dongtuna_190	ironic_unique_features_nanman_dongtuna_fealty
3k_main_political_party_faction_nanman_jiangyang_190	ironic_unique_features_nanman_jiangyang_fealty
3k_main_political_party_faction_nanman_jianning_190	ironic_unique_features_nanman_jianning_fealty
3k_main_political_party_faction_nanman_jianning_190	ironic_unique_features_nanman_jianning_wolf_pack
3k_main_political_party_faction_nanman_jiaozhi_190	ironic_unique_features_nanman_jiaozhi_fealty
3k_main_political_party_faction_nanman_jinhuansanjie_190	ironic_unique_features_nanman_jinhuansanjie_fealty
3k_main_political_party_faction_nanman_king_duosi_190	ironic_unique_features_nanman_king_duosi_fealty
3k_main_political_party_faction_nanman_king_duosi_190	ironic_unique_features_nanman_king_duosi_hidden_vipers
3k_main_political_party_faction_nanman_king_duosi_190	ironic_unique_features_nanman_king_duosi_sanjiang_poison_darts
3k_main_political_party_faction_nanman_king_duosi_190	ironic_unique_features_nanman_king_duosi_sanjiang_poison_spears
3k_main_political_party_faction_nanman_king_wutugu_190	ironic_unique_features_nanman_king_wutugu_fealty
3k_main_political_party_faction_nanman_king_wutugu_190	ironic_unique_features_nanman_king_wutugu_valley_tribesmen
3k_main_political_party_faction_nanman_king_wutugu_190	ironic_unique_features_nanman_king_wutugu_wugou_axe_throwers
3k_main_political_party_faction_nanman_king_wutugu_190	ironic_unique_features_nanman_king_wutugu_shields_of_the_south
3k_main_political_party_faction_nanman_mangyachang_190	ironic_unique_features_nanman_mangyachang_fealty
3k_main_political_party_faction_nanman_tu_an_190	ironic_unique_features_nanman_tu_an_fealty
3k_main_political_party_faction_nanman_xi_ni_190	ironic_unique_features_nanman_xi_ni_fealty
3k_main_political_party_faction_nanman_yang_feng_190	ironic_unique_features_nanman_yang_feng_fealty
3k_main_political_party_faction_nanman_yang_feng_190	ironic_unique_features_nanman_yang_feng_javelin_throwers
3k_main_political_party_faction_nanman_yang_feng_190	ironic_unique_features_nanman_yang_feng_javelin_spear_guards
3k_main_political_party_faction_nanman_yang_feng_190	ironic_unique_features_nanman_yang_feng_javelin_spearmen
3k_main_political_party_faction_nanman_yongchang_190	ironic_unique_features_nanman_yongchang_fealty
3k_main_political_party_faction_nanman_yunnan_190	ironic_unique_features_nanman_yunnan_fealty
3k_main_political_party_faction_nanman_yunnan_190	ironic_unique_features_nanman_yunnan_fire_archers
3k_main_political_party_faction_nanman_zangke_190	ironic_unique_features_nanman_zangke_fealty
3k_main_political_party_faction_nanman_zangke_190	ironic_unique_features_nanman_zangke_axe_throwers
