unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
#main_units_tables;42;db/main_units_tables/ironic_units																																															
ironic_xiliang_commander		0	melee_infantry	0	false	ironic_xiliang_commander	0	890	3k_main_campaign_ship_transport	1	1	60	0	895			240	medium		false	false	0	6346435	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	2	false	default		true		656.0000	0.0000	false		0.1000	false	true	8	ui/units/metal/ep_unit_metal_imperial_guards	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_fire_ironic_gan_ning_fire_cavalry		0	melee_cavalry	0	false	unit_fire_ironic_gan_ning_fire_cavalry	0	1140	3k_main_campaign_ship_transport	1	1	80	0	965			225	medium		false	false	0	51245132	true		vo_Empire	3k_main_unit_spear_cavalry_fire	3k_main_unit_spear_cavalry_fire	3	true	default		true		785.0000	0.0000	false		0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_bandits_2h_spear_cavalry	6.0000	vo_actor_group_generic_any_male_fire_general	0.2000	true
unit_metal_ironic_gan_ning_metal_infantry		0	melee_infantry	0	false	unit_metal_ironic_gan_ning_metal_infantry	0	890	3k_main_campaign_ship_transport	1	1	60	0	655			165	medium		false	false	0	4321512	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	2	false	default		true		656.0000	0.0000	false		0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_bandits_drifting_warmongers	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_fire_ironic_gao_gan_fire_cavalry		0	melee_cavalry	0	false	unit_fire_ironic_gao_gan_fire_cavalry	0	1140	3k_main_campaign_ship_transport	1	1	80	0	1265			310	heavy		false	false	0	43643643	true		vo_Empire	3k_main_unit_spear_cavalry_fire	3k_main_unit_spear_cavalry_fire	3	true	default		true		785.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/fire/Bingzhou_Raider_Cavalry	6.0000	vo_actor_group_generic_any_male_fire_general	0.2000	true
unit_metal_ironic_gao_gan_metal_infantry		0	melee_infantry	0	false	unit_metal_ironic_gao_gan_metal_infantry	0	890	3k_main_campaign_ship_transport	1	1	60	0	1125			265	very_heavy		false	false	0	765464564	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	2	false	default		true		656.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/metal/immovable_blades	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_wood_ironic_spear_milita_infantry		0	melee_infantry	0	false	unit_wood_ironic_spear_milita_infantry	0	460	3k_main_campaign_ship_transport	1	1	60	0	215			115	light		false	false	0	566788987	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	1	false	default		true		451.0000	0.0000	false		0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_buqu_spearmen	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
unit_wood_ironic_han_fu_wood_infantry		0	melee_infantry	0	false	unit_wood_ironic_han_fu_wood_infantry	0	460	3k_main_campaign_ship_transport	1	1	60	0	615			150	medium		false	false	0	566788988	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	2	false	default		true		451.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/wood/guardians_of_hebei	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
unit_metal_ironic_zhang_yang_metal_infantry		0	melee_infantry	0	false	unit_metal_ironic_zhang_yang_metal_infantry	0	460	3k_main_campaign_ship_transport	1	1	60	0	755			190	heavy		false	false	0	566788989	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	3	true	default		true		451.0000	0.0000	false		0.1000	false	true	8	ui/units/metal/3k_dlc05_unit_metal_zhanmajian_infantry	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_earth_ironic_zhang_yang_earth_cavalry		0	melee_cavalry	0	false	unit_earth_ironic_zhang_yang_earth_cavalry	0	460	3k_main_campaign_ship_transport	1	1	60	0	855			265	medium		false	false	0	566788990	true		vo_Empire	3k_main_unit_sword_cavalry_earth	3k_main_unit_sword_cavalry_earth	2	true	default		true		451.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/earth/bingzhou_riders	4.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
