unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
#main_units_tables;42;db/main_units_tables/ironic_190e_korean_rosters																																															
rew_iro_gaya_unit_metal_ingot_breakers		0	melee_infantry	0	false	rew_iro_gaya_unit_metal_ingot_breakers	0	750	3k_main_campaign_ship_transport	1	1	320	0	700			175	medium		false	false	0	190825044	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	0	false	default		true		700.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/3k_dlc05_unit_metal_white_tiger_warriors	5.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_gaya_unit_metal_iron_plate_guard		0	melee_infantry	0	false	rew_iro_gaya_unit_metal_iron_plate_guard	0	950	3k_main_campaign_ship_transport	1	1	320	0	900			240	heavy		false	false	0	190825045	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	1	false	default		true		900.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/ep_unit_metal_warriors_of_xu	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_bakaja_unit_earth_border_raiders		0	melee_cavalry	0	false	rew_iro_bakaja_unit_earth_border_raiders	0	800	3k_main_campaign_ship_transport	1	1	320	0	800			210	light		false	false	0	190825046	true		vo_Empire	3k_main_unit_axe_cavalry_earth	3k_main_unit_axe_cavalry_earth	0	false	default		true		640.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_wuhuan_cavalry	3.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
rew_iro_bakaja_unit_metal_yoche_stormers		0	melee_infantry	0	false	rew_iro_bakaja_unit_metal_yoche_stormers	0	1000	3k_main_campaign_ship_transport	1	1	320	0	950			255	heavy		false	false	0	190825047	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	1	false	default		true		950.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_bandits_elite_blood_seekers	8.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_shitla_unit_water_cloud_readers		0	missile_infantry	0	false	rew_iro_shitla_unit_water_cloud_readers	0	650	3k_main_campaign_ship_transport	1	1	320	0	500			150	medium		false	false	0	190825048	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	0	false	default		true		150.0000	320.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/mh_unit_water_qiang_archers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_shitla_unit_wood_fortress_wardens		0	melee_infantry	0	false	rew_iro_shitla_unit_wood_fortress_wardens	0	1000	3k_main_campaign_ship_transport	1	1	320	0	900			240	heavy		false	false	0	190825049	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	1	false	default		true		900.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/mh_unit_wood_stalwart_shields	2.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_korea_ye_unit_water_dan_gung_archers		0	missile_infantry	0	false	rew_iro_korea_ye_unit_water_dan_gung_archers	0	600	3k_main_campaign_ship_transport	1	1	320	0	460			140	light		false	false	0	190825050	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	0	false	default		true		140.0000	300.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/mh_unit_water_poachers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_korea_ye_unit_wood_three_zhang_spears		0	melee_infantry	0	false	rew_iro_korea_ye_unit_wood_three_zhang_spears	0	1000	3k_main_campaign_ship_transport	1	1	320	0	900			230	heavy		false	false	0	190825051	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	1	false	default		true		900.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/mh_unit_wood_qiang_polearms	2.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_tamno_unit_earth_samseong_ponies		0	melee_cavalry	0	false	rew_iro_tamno_unit_earth_samseong_ponies	0	700	3k_main_campaign_ship_transport	1	1	320	0	650			175	light		false	false	0	190825052	true		vo_Empire	3k_main_unit_axe_cavalry_earth	3k_main_unit_axe_cavalry_earth	0	false	default		true		560.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/vaca_units/earth/Northern_Pillagers	3.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
rew_iro_tamno_unit_wood_strait_raiders		0	melee_infantry	0	false	rew_iro_tamno_unit_wood_strait_raiders	0	850	3k_main_campaign_ship_transport	1	1	320	0	800			210	medium		false	false	0	190825053	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	1	false	default		true		620.0000	180.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/3k_dlc06_unit_wood_javelin_spear_guards	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_buyeo_unit_wood_household_levy		0	melee_infantry	0	false	rew_iro_buyeo_unit_wood_household_levy	0	600	3k_main_campaign_ship_transport	1	1	320	0	520			165	medium		false	false	0	190825054	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	0	false	default		true		520.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/3k_dlc07_unit_wood_dongzhoubing_defenders	2.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_buyeo_unit_fire_ma_ga_lancers		0	melee_cavalry	0	false	rew_iro_buyeo_unit_fire_ma_ga_lancers	0	1300	3k_main_campaign_ship_transport	1	1	320	0	1750			390	heavy		false	false	0	190825055	true		vo_Empire	3k_main_unit_spear_cavalry_fire	3k_main_unit_spear_cavalry_fire	1	false	default		true		1150.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/fire/3k_main_unit_fire_qiang_marauders	2.0000	vo_actor_group_generic_any_male_fire_general	0.2000	true
rew_iro_korean_unit_water_arrow_storm		0	warmachine	0	false	rew_iro_korean_unit_water_arrow_storm	0	1100	3k_main_campaign_ship_transport	1	1	320	0	1300			340	light		false	false	0	190825056	true		vo_Empire	3k_dlc04_unit_machine_crossbow_water	3k_main_unit_artillery_water	1	false	default		true		228.0000	832.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/mh_unit_water_engine_crossbow	12.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
