unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
#main_units_tables;42;db/main_units_tables/rew_iro_southern_update_units																																															
unit_water_yang_crossbows		0	missile_infantry	0	false	unit_water_yang_crossbows	0	450	3k_main_campaign_ship_transport	1	1	240	0	450			160	medium		false	false	0	566789026	true		vo_Empire	3k_main_unit_crossbow_infantry_water	3k_main_unit_crossbow_infantry_water	1	false	default		true		225.0000	225.0000	false		0.1000	false	true	8	ui/vaca_units/water/yang_crossbows	9.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
unit_wood_yang_halbrediers		0	melee_infantry	0	false	unit_wood_yang_halbrediers	0	800	3k_main_campaign_ship_transport	1	1	240	0	800			190	heavy		false	false	0	566789027	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	2	false	default		true		800.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/wood/yang_halberd	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
unit_metal_wu_engineers		0	melee_infantry	0	false	unit_metal_wu_engineers	0	1000	3k_main_campaign_ship_transport	1	1	240	0	1000			225	medium		false	false	0	566789028	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	2	false	default		true		700.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/metal/wu_engineers	15.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_water_fuchun_militia		0	missile_infantry	0	false	unit_water_fuchun_militia	0	325	3k_main_campaign_ship_transport	1	1	240	0	325			110	light		false	false	0	566789029	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	1	false	default		true		163.0000	163.0000	false		0.1000	false	true	8	ui/vaca_units/water/fuchun_militia	9.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
unit_earth_shanyue_volunteer_cavalry		0	melee_cavalry	0	false	unit_earth_shanyue_volunteer_cavalry	0	600	3k_main_campaign_ship_transport	1	1	240	0	900			235	light		false	false	0	566789030	true		vo_Empire	3k_main_unit_sword_cavalry_earth	3k_main_unit_sword_cavalry_earth	1	false	default		true		600.0000	80.0000	false		0.1000	false	true	8	ui/vaca_units/earth/shanyue_volunteer_cavalary	2.0000	vo_actor_group_generic_any_male_earth_general	0.2000	true
unit_water_kuaji_archers		0	missile_infantry	0	false	unit_water_kuaji_archers	0	650	3k_main_campaign_ship_transport	1	1	240	0	650			260	medium		false	false	0	566789031	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	2	false	default		true		325.0000	325.0000	false		0.1000	false	true	8	ui/vaca_units/water/kuaiji_archer	9.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
unit_metal_zu_lang_shanyue_bandits		0	melee_infantry	0	false	unit_metal_zu_lang_shanyue_bandits	0	425	3k_main_campaign_ship_transport	1	1	240	0	425			130	light		false	false	0	566789032	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	1	false	default		true		425.0000	0.0000	false		0.1000	false	true	8	ui/vaca_units/metal/large/Shanyue_Bandits	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_metal_zu_lang_coastal_marauders		0	melee_infantry	0	false	unit_metal_zu_lang_coastal_marauders	0	1000	3k_main_campaign_ship_transport	1	1	240	0	1000			245	medium		false	false	0	566789033	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	1	false	default		true		900.0000	20.0000	false		0.1000	false	true	8	ui/vaca_units/metal/Coastal_Marauder	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
unit_metal_tong_zhi_wu_drafted_guards		0	melee_infantry	0	false	unit_metal_tong_zhi_wu_drafted_guards	0	550	3k_main_campaign_ship_transport	1	1	240	0	550			145	medium		false	false	0	566789034	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	1	false	default		true		550.0000	0.0000	false		0.1000	false	true	5	ui/vaca_units/metal/Luling_Drafted_Guards	4.0000	vo_actor_group_generic_any_male_metal_general	1.0000	true
