unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
#main_units_tables;42;db/main_units_tables/ironic_diy_two																																															
ironic_militia_ji_wood		0	melee_infantry	0	false	ironic_militia_ji_wood	0	450	3k_main_campaign_ship_transport	1	1	320	0	450			120	light		false	false	0	565600003	true		vo_Empire	3k_main_unit_polearm_infantry_wood	3k_main_unit_polearm_infantry_wood	0	false	default		true		450.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/3k_main_unit_wood_halberd_militia	4.0000	vo_actor_group_generic_male_wood_general	0.2000	true
ironic_militia_mounted_sabre_earth		0	melee_cavalry	0	false	ironic_militia_mounted_sabre_earth	0	500	3k_main_campaign_ship_transport	1	1	80	0	750			200	light		false	false	0	565600004	true		vo_Empire	3k_main_unit_sword_cavalry_earth	3k_main_unit_sword_cavalry_earth	0	false	default		true		1050.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/earth/3k_main_unit_earth_mounted_sabre_militia	2.0000	vo_actor_group_generic_male_earth_general	0.2000	true
ironic_militia_spearmen_wood		0	melee_infantry	0	false	ironic_militia_spearmen_wood	0	550	3k_main_campaign_ship_transport	1	1	320	0	550			165	light		false	false	0	565600006	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	0	false	default		true		500.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/3k_dlc05_unit_wood_bandit_gang	4.0000	vo_actor_group_generic_male_wood_general	0.2000	true
ironic_farmland_band_metal		0	melee_infantry	0	false	ironic_farmland_band_metal	0	325	3k_main_campaign_ship_transport	1	1	320	0	325			90	light		false	false	0	565600101	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	0	false	default		true		300.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/ironic_farmland_band	4.0000	vo_actor_group_generic_male_metal_general	0.2000	true
ironic_tianshi_horse_archers_water		0	missile_cavalry	0	false	ironic_tianshi_horse_archers_water	0	700	3k_main_campaign_ship_transport	1	1	80	0	840			225	medium		false	false	0	565600010	true		vo_Empire	3k_main_unit_ranged_cavalry_water	3k_main_unit_ranged_cavalry_water	1	false	default		true		518.0000	167.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/3k_main_unit_water_mounted_marksmen	6.0000	vo_actor_group_generic_male_water_general	0.2000	true
ironic_farmland_protectors_wood		0	melee_infantry	0	false	ironic_farmland_protectors_wood	0	300	3k_main_campaign_ship_transport	1	1	320	0	300			80	light		false	false	0	565600012	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	0	false	default		true		200.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/ironic_farmland_protectors	4.0000	vo_actor_group_generic_male_wood_general	0.2000	true
ironic_farmland_hunters_water		0	missile_infantry	0	false	ironic_farmland_hunters_water	0	220	3k_main_campaign_ship_transport	1	1	320	0	220			60	light		false	false	0	565600013	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	0	false	default		true		35.0000	115.0000	false	vo_Empire	0.1000	false	true	8	ui/units/water/ironic_farmland_hunters	6.0000	vo_actor_group_generic_male_water_general	0.2000	true
ironic_farmland_warriors_metal		0	melee_infantry	0	false	ironic_farmland_warriors_metal	0	280	3k_main_campaign_ship_transport	1	1	320	0	280			75	light		false	false	0	565600014	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	0	false	default		true		250.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/metal/ironic_farmland_warriors	4.0000	vo_actor_group_generic_male_metal_general	0.2000	true
ironic_wudou_ji_infantry_wood		0	melee_infantry	0	false	ironic_wudou_ji_infantry_wood	0	600	3k_main_campaign_ship_transport	1	1	320	0	600			160	medium		false	false	0	565600015	true		vo_Empire	3k_main_unit_polearm_infantry_wood	3k_main_unit_polearm_infantry_wood	0	false	default		true		600.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/units/wood/3k_main_unit_wood_halberdiers	4.0000	vo_actor_group_generic_male_wood_general	0.2000	true
