key	ceo	point_threshold_to_activate	point_theshold_to_destroy	starting_points	max_points	resets_to_starting_points_when_deactivated
#ceo_thresholds_tables;0;ceo_db/ceo_thresholds_tables/followers						
3k_dlc04_threshold_ancillary_apprentice_crafter	3k_dlc04_ancillary_follower_apprentice_crafter	1	0	1	1	false
3k_dlc04_threshold_ancillary_master_crafter	3k_dlc04_ancillary_follower_master_crafter	1	0	1	1	false
3k_dlc06_ancillary_follower_shaman	3k_dlc06_ancillary_follower_shaman	1	0	1	1	false
3k_dlc06_ancillary_follower_translator	3k_dlc06_ancillary_follower_translator	1	0	1	1	false
3k_dlc07_threshold_ancillary_follower_northern_army_captain	3k_dlc07_ancillary_follower_northern_army_captain	1	0	1	1	false
3k_gsz_ancillary_follower_bandit_earth	3k_gsz_ancillary_follower_bandit_earth	1	0	20	20	false
3k_gsz_ancillary_follower_bandit_fire	3k_gsz_ancillary_follower_bandit_fire	1	0	20	20	false
3k_gsz_ancillary_follower_bandit_metal	3k_gsz_ancillary_follower_bandit_metal	1	0	20	20	false
3k_gsz_ancillary_follower_bandit_water	3k_gsz_ancillary_follower_bandit_water	1	0	20	20	false
3k_gsz_ancillary_follower_bandit_wood	3k_gsz_ancillary_follower_bandit_wood	1	0	20	20	false
3k_gsz_ancillary_follower_barbarian_earth	3k_gsz_ancillary_follower_barbarian_earth	1	0	20	20	false
3k_gsz_ancillary_follower_barbarian_fire	3k_gsz_ancillary_follower_barbarian_fire	1	0	20	20	false
3k_gsz_ancillary_follower_barbarian_metal	3k_gsz_ancillary_follower_barbarian_metal	1	0	20	20	false
3k_gsz_ancillary_follower_barbarian_water	3k_gsz_ancillary_follower_barbarian_water	1	0	20	20	false
3k_gsz_ancillary_follower_barbarian_wood	3k_gsz_ancillary_follower_barbarian_wood	1	0	20	20	false
3k_gsz_ancillary_follower_han_earth	3k_gsz_ancillary_follower_han_earth	1	0	20	20	false
3k_gsz_ancillary_follower_han_fire	3k_gsz_ancillary_follower_han_fire	1	0	20	20	false
3k_gsz_ancillary_follower_han_metal	3k_gsz_ancillary_follower_han_metal	1	0	20	20	false
3k_gsz_ancillary_follower_han_water	3k_gsz_ancillary_follower_han_water	1	0	20	20	false
3k_gsz_ancillary_follower_han_wood	3k_gsz_ancillary_follower_han_wood	1	0	20	20	false
3k_gsz_ancillary_follower_korea_earth	3k_gsz_ancillary_follower_korea_earth	1	0	20	20	false
3k_gsz_ancillary_follower_korea_fire	3k_gsz_ancillary_follower_korea_fire	1	0	20	20	false
3k_gsz_ancillary_follower_korea_metal	3k_gsz_ancillary_follower_korea_metal	1	0	20	20	false
3k_gsz_ancillary_follower_korea_water	3k_gsz_ancillary_follower_korea_water	1	0	20	20	false
3k_gsz_ancillary_follower_korea_wood	3k_gsz_ancillary_follower_korea_wood	1	0	20	20	false
3k_gsz_ancillary_follower_nanman_animal	3k_gsz_ancillary_follower_nanman_animal	1	0	20	20	false
3k_gsz_ancillary_follower_nanman_infantry	3k_gsz_ancillary_follower_nanman_infantry	1	0	20	20	false
3k_ironic_ancillary_follower_xiliang_commander	3k_ironic_ancillary_follower_xiliang_commander	1	0	1	1	false
3k_main_ancillary_follower_weapon_craftsman	3k_main_ancillary_follower_weapon_craftsman	1	0	1	1	false
3k_main_threshold_ancillary_adept	3k_main_ancillary_follower_adept	1	0	1	1	false
3k_main_threshold_ancillary_architect	3k_main_ancillary_follower_architect	1	0	1	1	false
3k_main_threshold_ancillary_artisan	3k_main_ancillary_follower_artisan	1	0	1	1	false
3k_main_threshold_ancillary_astronomer	3k_main_ancillary_follower_astronomer	1	0	1	1	false
3k_main_threshold_ancillary_bodyguard	3k_main_ancillary_follower_bodyguard	1	0	1	1	false
3k_main_threshold_ancillary_builder	3k_main_ancillary_follower_builder	1	0	1	1	false
3k_main_threshold_ancillary_concubine	3k_main_ancillary_follower_concubine	1	0	1	1	false
3k_main_threshold_ancillary_confucian_sage	3k_main_ancillary_follower_confucian_sage	1	0	1	1	false
3k_main_threshold_ancillary_craftsman	3k_main_ancillary_follower_craftsman	1	0	1	1	false
3k_main_threshold_ancillary_cryptographer	3k_main_ancillary_follower_cryptographer	1	0	1	1	false
3k_main_threshold_ancillary_devious_attendant	3k_main_ancillary_follower_devious_attendant	1	0	1	1	false
3k_main_threshold_ancillary_diviner	3k_main_ancillary_follower_diviner	1	0	1	1	false
3k_main_threshold_ancillary_eavesdropper	3k_main_ancillary_follower_eavesdropper	1	0	1	1	false
3k_main_threshold_ancillary_elite_trainer	3k_main_ancillary_follower_elite_trainer	1	0	1	1	false
3k_main_threshold_ancillary_engineer	3k_main_ancillary_follower_engineer	1	0	1	1	false
3k_main_threshold_ancillary_eunuch	3k_main_ancillary_follower_eunuch	1	0	1	1	false
3k_main_threshold_ancillary_farm_manager	3k_main_ancillary_follower_farm_manager	1	0	1	1	false
3k_main_threshold_ancillary_farmer	3k_main_ancillary_follower_farmer	1	0	1	1	false
3k_main_threshold_ancillary_foreman	3k_main_ancillary_follower_foreman	1	0	1	1	false
3k_main_threshold_ancillary_forge_master	3k_main_ancillary_follower_forge_master	1	0	1	1	false
3k_main_threshold_ancillary_guard	3k_main_ancillary_follower_guard	1	0	1	1	false
3k_main_threshold_ancillary_herdsman	3k_main_ancillary_follower_herdsman	1	0	1	1	false
3k_main_threshold_ancillary_hua_tuo	3k_main_ancillary_follower_hua_tuo	1	0	1	1	false
3k_main_threshold_ancillary_inspector	3k_main_ancillary_follower_inspector	1	0	1	1	false
3k_main_threshold_ancillary_jade_sculptor	3k_main_ancillary_follower_jade_sculptor	1	0	1	1	false
3k_main_threshold_ancillary_labour_recruiter	3k_main_ancillary_follower_labour_recruiter	1	0	1	1	false
3k_main_threshold_ancillary_land_shaper	3k_main_ancillary_follower_land_shaper	1	0	1	1	false
3k_main_threshold_ancillary_law_enforcer	3k_main_ancillary_follower_law_enforcer	1	0	1	1	false
3k_main_threshold_ancillary_legalist_fanatic	3k_main_ancillary_follower_legalist_fanatic	1	0	1	1	false
3k_main_threshold_ancillary_local_administrator	3k_main_ancillary_follower_local_administrator	1	0	1	1	false
3k_main_threshold_ancillary_master_craftsman	3k_main_ancillary_follower_master_craftsman	1	0	1	1	false
3k_main_threshold_ancillary_mathematician	3k_main_ancillary_follower_mathematician	1	0	1	1	false
3k_main_threshold_ancillary_merchant	3k_main_ancillary_follower_merchant	1	0	1	1	false
3k_main_threshold_ancillary_military_expert	3k_main_ancillary_follower_military_expert	1	0	1	1	false
3k_main_threshold_ancillary_military_instructor	3k_main_ancillary_follower_military_instructor	1	0	1	1	false
3k_main_threshold_ancillary_monk	3k_main_ancillary_follower_monk	1	0	1	1	false
3k_main_threshold_ancillary_officer	3k_main_ancillary_follower_officer	1	0	1	1	false
3k_main_threshold_ancillary_overseer	3k_main_ancillary_follower_overseer	1	0	1	1	false
