key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/doumaoresource						
ironic_trailblazing_factor	ironic_trailblazing_factor	2147483647	-2147483647	ironic_trailblazing	true	true
ironic_trailblazing_victory	ironic_trailblazing_victory	2147483647	-2147483647	ironic_trailblazing	true	false
ironic_trailblazing_defeat	ironic_trailblazing_defeat	2147483647	-2147483647	ironic_trailblazing	true	false
ironic_trailblazing_decay	ironic_trailblazing_decay	2147483647	-2147483647	ironic_trailblazing	true	true
ironic_trailblazing_at_war	ironic_trailblazing_at_war	2147483647	-2147483647	ironic_trailblazing	true	false
ironic_trailblazing_post_battle_options	ironic_trailblazing_post_battle_options	2147483647	-2147483647	ironic_trailblazing	true	false
ironic_trailblazing_assignments	ironic_trailblazing_assignments	2147483647	-2147483647	ironic_trailblazing	true	false
ironic_trailblazing_casualites	ironic_trailblazing_casualites	2147483647	-2147483647	ironic_trailblazing	true	false
ironic_trailblazing_population	ironic_trailblazing_population	2147483647	-2147483647	ironic_trailblazing	true	true
