key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/chenwenresource						
ironic_coalition_of_the_plains_factor	ironic_coalition_of_the_plains_factor	2147483647	-2147483647	ironic_coalition_of_the_plains	true	true
ironic_coalition_of_the_plains_victory	ironic_coalition_of_the_plains_victory	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
ironic_coalition_of_the_plains_defeat	ironic_coalition_of_the_plains_defeat	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
ironic_coalition_of_the_plains_decay	ironic_coalition_of_the_plains_decay	2147483647	-2147483647	ironic_coalition_of_the_plains	true	true
ironic_coalition_of_the_plains_at_war	ironic_coalition_of_the_plains_at_war	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
ironic_coalition_of_the_plains_post_battle_options	ironic_coalition_of_the_plains_post_battle_options	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
ironic_coalition_of_the_plains_assignments	ironic_coalition_of_the_plains_assignments	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
ironic_coalition_of_the_plains_alliance	ironic_coalition_of_the_plains_alliance	2147483647	-2147483647	ironic_coalition_of_the_plains	true	true
ironic_coalition_of_the_plains_court_actions	ironic_coalition_of_the_plains_court_actions	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
ironic_coalition_of_the_plains_buildings	ironic_coalition_of_the_plains_buildings	2147483647	-2147483647	ironic_coalition_of_the_plains	true	false
