key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/wang_shengresource						
ironic_languor_factor	ironic_languor_factor	2147483647	-2147483647	ironic_languor	true	true
ironic_languor_victory	ironic_languor_victory	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_defeat	ironic_languor_defeat	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_decay	ironic_languor_decay	2147483647	-2147483647	ironic_languor	true	true
ironic_languor_at_war	ironic_languor_at_war	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_post_battle_options	ironic_languor_post_battle_options	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_assignments	ironic_languor_assignments	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_buildings	ironic_languor_buildings	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_tech	ironic_languor_tech	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_vassals	ironic_langour_vassals	2147483647	-2147483647	ironic_languor	true	false
ironic_languour_alliance	ironic_languour_alliance	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_trade	ironic_langour_trade	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_governors	ironic_langour_governors	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_court_position	ironic_langour_court_position	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_assignments	ironic_langour_assignments	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_character_rank	ironic_langour_character_rank	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_military	ironic_languor_military	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_recruitment	ironic_languor_recruitment	2147483647	-2147483647	ironic_languor	true	false
ironic_langour_spies	ironic_langour_spies	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_lady_wu_married	ironic_languor_lady_wu_married	2147483647	-2147483647	ironic_languor	true	false
ironic_languor_wu_family_killed	ironic_languor_wu_family_killed	2147483647	-2147483647	ironic_languor	true	false
