key	factor	maximum	minimum	resource	ai_can_propose	is_recurring_factor
#pooled_resource_factor_junctions_tables;3;db/pooled_resource_factor_junctions_tables/data__						
3k_dlc04_pooled_faction_junction_governance	3k_dlc04_pooled_factor_governance	2147483647	-2147483647	3k_dlc04_pooled_resource_liu_biao_governance	true	true
3k_dlc04_pooled_faction_junction_governance_buildings	3k_dlc04_pooled_factor_governance_buildings	2147483647	-2147483647	3k_dlc04_pooled_resource_liu_biao_governance	true	true
3k_dlc04_pooled_faction_junction_governance_vassals	3k_dlc04_pooled_factor_governance_vassals	2147483647	-2147483647	3k_dlc04_pooled_resource_liu_biao_governance	true	true
3k_dlc04_pooled_factor_fervour_events	3k_dlc04_pooled_factor_fervour_events	2147483647	-2147483647	3k_dlc04_pooled_resource_fervour	true	true
3k_dlc04_pooled_factor_fervour_regional_events	3k_dlc04_pooled_factor_fervour_regional_events	2147483647	-2147483647	3k_dlc04_pooled_resource_fervour_regional	true	true
3k_dlc04_pooled_factor_junction_bureaucrats_influence	3k_dlc04_pooled_factor_bureaucrats_influence	2147483647	-2147483647	3k_dlc04_pooled_resource_bureaucrats_influence	true	true
3k_dlc04_pooled_factor_junction_bureaucrats_influence_from_events	3k_dlc04_pooled_factor_bureaucrats_influence_from_events	2147483647	-2147483647	3k_dlc04_pooled_resource_bureaucrats_influence	true	true
3k_dlc04_pooled_factor_junction_bureaucrats_influence_increase_from_characters	3k_dlc04_pooled_factor_bureaucrats_influence_from_eunuchs	2147483647	-2147483647	3k_dlc04_pooled_resource_bureaucrats_influence	true	true
3k_dlc04_pooled_factor_junction_bureaucrats_influence_increase_from_court_poisitions	3k_dlc04_pooled_factor_bureaucrats_influence_from_court_positions	2147483647	-2147483647	3k_dlc04_pooled_resource_bureaucrats_influence	true	true
3k_dlc04_pooled_factor_junction_displaced_population	3k_dlc04_pooled_factor_displaced_population	2147483647	-2147483647	3k_dlc04_pooled_resource_displaced_population	true	true
3k_dlc04_pooled_factor_junction_displaced_population_decay	3k_dlc04_pooled_factor_displaced_population_decay	2147483647	-2147483647	3k_dlc04_pooled_resource_displaced_population	true	true
3k_dlc04_pooled_factor_junction_displaced_population_occupation_domestic	3k_dlc04_pooled_factor_displaced_population_occupation_domestic	2147483647	-2147483647	3k_dlc04_pooled_resource_displaced_population	true	true
3k_dlc04_pooled_factor_junction_displaced_population_occupation_foreign	3k_dlc04_pooled_factor_displaced_population_occupation_foreign	2147483647	-2147483647	3k_dlc04_pooled_resource_displaced_population	true	true
3k_dlc04_pooled_factor_junction_displaced_population_resettlement	3k_dlc04_pooled_factor_displaced_population_resettlement	2147483647	-2147483647	3k_dlc04_pooled_resource_displaced_population	true	true
3k_dlc04_pooled_factor_junction_domain	3k_dlc04_factor_domain	2147483647	-2147483647	3k_dlc04_pooled_resource_liu_biao_domain	true	true
3k_dlc04_pooled_factor_junction_domain_buildings	3k_dlc04_factor_domain_buildings	2147483647	-2147483647	3k_dlc04_pooled_resource_liu_biao_domain	true	false
3k_dlc04_pooled_factor_junction_domain_regions	3k_dlc04_factor_domain_regions	2147483647	-2147483647	3k_dlc04_pooled_resource_liu_biao_domain	true	true
3k_dlc04_pooled_factor_junction_dynasty_influence	3k_dlc04_pooled_factor_dynasty_influence	2147483647	-2147483647	3k_dlc04_pooled_resource_dynasty_influence	true	true
3k_dlc04_pooled_factor_junction_dynasty_influence_from_events	3k_dlc04_pooled_factor_dynasty_influence_from_events	2147483647	-2147483647	3k_dlc04_pooled_resource_dynasty_influence	true	true
3k_dlc04_pooled_factor_junction_dynasty_influence_increase_from_characters	3k_dlc04_pooled_factor_dynasty_influence_from_characters	2147483647	-2147483647	3k_dlc04_pooled_resource_dynasty_influence	true	true
3k_dlc04_pooled_factor_junction_dynasty_influence_increase_from_court_poisitions	3k_dlc04_pooled_factor_dynasty_influence_from_court_positions	2147483647	-2147483647	3k_dlc04_pooled_resource_dynasty_influence	true	true
3k_dlc04_pooled_factor_junction_fervour	3k_dlc04_pooled_factor_fervour	2147483647	-2147483647	3k_dlc04_pooled_resource_fervour	true	true
3k_dlc04_pooled_factor_junction_fervour_battles	3k_dlc04_pooled_factor_fervour_battles	2147483647	-2147483647	3k_dlc04_pooled_resource_fervour	true	true
3k_dlc04_pooled_factor_junction_fervour_decrease_from_decay	3k_dlc04_pooled_factor_fervour_decrease_from_decay	2147483647	-2147483647	3k_dlc04_pooled_resource_fervour	true	true
3k_dlc04_pooled_factor_junction_fervour_increase_from_economic_stength	3k_dlc04_pooled_factor_fervour_increase_from_economic_stength	2147483647	-2147483647	3k_dlc04_pooled_resource_fervour	true	true
