region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	settler_rebellions_enabled	capture_prestige	alternative_rebel_faction	development_points	base_fertility	slot_cap	initial_faction_support_value
#start_pos_regions_tables;10;db/start_pos_regions_tables/data_3k_dlc04_start_pos																		
3k_dlc06_gu_pass	3k_dlc04_start_pos	326724602	1878474362	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_hangu_pass	3k_dlc04_start_pos	2030163189	309483846	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_hedong_resource_2	3k_dlc04_start_pos	679060998		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_hulao_pass	3k_dlc04_start_pos	94238277	309483846	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_jiameng_pass	3k_dlc04_start_pos	856473342		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_jianning_resource_3	3k_dlc04_start_pos	1677810304		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_jiaozhi_resource_3	3k_dlc04_start_pos	2043406961		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_jiuzhen_capital	3k_dlc04_start_pos	156886765		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	7	100
3k_dlc06_jiuzhen_resource_1	3k_dlc04_start_pos	1484524359		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_kui_pass	3k_dlc04_start_pos	1590764556	1015943841	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_liaodong_capital	3k_dlc04_start_pos	649518828		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	7	100
3k_dlc06_liaodong_resource_1	3k_dlc04_start_pos	876568592		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_qi_pass	3k_dlc04_start_pos	1460376861	309483846	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_san_pass	3k_dlc04_start_pos	1461365070	1474247473	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_shangdang_resource_2	3k_dlc04_start_pos	1968622456	309483846	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_tong_pass	3k_dlc04_start_pos	1109160626		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_wu_pass	3k_dlc04_start_pos	1863113594		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	1	100
3k_dlc06_xiapi_capital	3k_dlc04_start_pos	94295435	1639628547	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	7	100
3k_dlc06_xiapi_resource_1	3k_dlc04_start_pos	92944869	1639628547	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_yongchang_capital	3k_dlc04_start_pos	742150111		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	7	100
3k_dlc06_yongchang_resource_1	3k_dlc04_start_pos	944046811		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_yunnan_capital	3k_dlc04_start_pos	2051723768		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	7	100
3k_dlc06_yunnan_resource_1	3k_dlc04_start_pos	1949527150		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_dlc06_yunnan_resource_2	3k_dlc04_start_pos	1876545159		false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
3k_main_anding_capital	3k_dlc04_start_pos	1751845617	1474247473	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	7	100
3k_main_anding_resource_1	3k_dlc04_start_pos	1945600067	1145628661	false	100000	500000	100000	0	0	3k_dlc04_faction_rebels	3k_main_chinese	false	0	3k_dlc04_faction_rebels	5	0	2	100
