region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	settler_rebellions_enabled	capture_prestige	alternative_rebel_faction	development_points	base_fertility	slot_cap	initial_faction_support_value
#start_pos_regions_tables;10;db/start_pos_regions_tables/data_3k_dlc05_start_pos																		
3k_dlc06_gu_pass	3k_dlc05_start_pos	1436221766	2060867205	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_hangu_pass	3k_dlc05_start_pos	910803637	653630959	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_hedong_resource_2	3k_dlc05_start_pos	446960162	1292486257	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_hulao_pass	3k_dlc05_start_pos	1101916275	653630959	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_jiameng_pass	3k_dlc05_start_pos	481769400		false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_jianning_resource_3	3k_dlc05_start_pos	767005148	1122341870	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_jiaozhi_resource_3	3k_dlc05_start_pos	1175016929	40394917	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_jiuzhen_capital	3k_dlc05_start_pos	1923680150	1215847010	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	7	100
3k_dlc06_jiuzhen_resource_1	3k_dlc05_start_pos	598181122	1215847010	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_kui_pass	3k_dlc05_start_pos	261389797	1927660260	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_liaodong_capital	3k_dlc05_start_pos	237510048	1716726503	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	7	100
3k_dlc06_liaodong_resource_1	3k_dlc05_start_pos	1687401722	1716726503	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_qi_pass	3k_dlc05_start_pos	473494269	1292486257	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_san_pass	3k_dlc05_start_pos	669675228	653630959	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	1	100
3k_dlc06_shangdang_resource_2	3k_dlc05_start_pos	1162274262	1292486257	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
