region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	settler_rebellions_enabled	capture_prestige	alternative_rebel_faction	development_points	base_fertility	slot_cap	initial_faction_support_value
#start_pos_regions_tables;10;db/start_pos_regions_tables/data_3k_main_campaign_map																		
3k_dlc06_gu_pass	3k_main_campaign_map	1581029461	2120137657	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	4	100
3k_dlc06_hangu_pass	3k_main_campaign_map	1850766989	1073678827	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	4	100
3k_dlc06_hedong_resource_2	3k_main_campaign_map	1971133852	427622583	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_hulao_pass	3k_main_campaign_map	1621932618		false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	4	100
3k_dlc06_jiameng_pass	3k_main_campaign_map	1359397205		false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	4	100
3k_dlc06_jianning_resource_3	3k_main_campaign_map	1264324658	1630163246	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_jiaozhi_resource_3	3k_main_campaign_map	980226797	596805526	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_jiuzhen_capital	3k_main_campaign_map	1666798800	185741521	true	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	9	100
3k_dlc06_jiuzhen_resource_1	3k_main_campaign_map	434771122	2120137657	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	2	100
3k_dlc06_kui_pass	3k_main_campaign_map	697842369	2058050272	false	100000	500000	100000	0	0	3k_main_faction_yellow_turban_rebels	3k_main_chinese	false	0	3k_main_faction_rebels	5	0	4	100
