key	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	sort_order	victory_screen_image	defeat_screen_image	frontend_character	faction_leader_effect_bundle	starting_progression_level	is_recommended
#frontend_faction_leaders_tables;32;db/frontend_faction_leaders_tables/data__														
3k_dlc04_main_political_party_prince_liu_chong_ruler		3k_main_faction_intro_earth_liu_chong	ui/loading_ui/load_images/testSeason.png	3k_main_faction_intro_earth_liu_chong	694.0000	362.0000	vo_actor_general_Prince_Liu_Chong	20	ui/post_campaign_background/campaign_victory_liu_chong.png	ui/post_campaign_background/campaign_defeat_liu_chong.png	3k_main_template_historical_liu_chong_hero_earth_faction_leader	3k_dlc04_frontend_leader_prince_liu_chong_ruler	3k_dlc04_cao_cao_0	false
3k_dlc04_political_party_cao_cao_ruler		mh_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	mh_faction_intro_all	833.0000	532.0000	vo_actor_hero_Cao_Cao_dlc04	0	ui/post_campaign_background/campaign_victory_cao_cao.png	ui/post_campaign_background/campaign_defeat_cao_cao.png	3k_main_template_historical_cao_cao_hero_earth_faction_leader	3k_main_frontend_leader_bundle_cao_cao_ruler	3k_dlc04_cao_cao_0	true
3k_dlc04_political_party_dong_zhuo_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	mh_faction_intro_all	469.0000	129.0000	vo_actor_hero_Dong_Zhuo_dlc04	3	ui/post_campaign_background/campaign_victory_dhong_zhou.png	ui/post_campaign_background/campaign_defeat_dhong_zhou.png	3k_main_template_historical_dong_zhuo_hero_fire_faction_leader	3k_main_frontend_leader_bundle_dong_zhuo_ruler	3k_dlc04_cao_cao_0	false
3k_dlc04_political_party_empress_he_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	mh_faction_intro_all	650.0000	331.0000	vo_actor_general_Emperor_Ling	0	ui/post_campaign_background/campaign_victory_liu_hong.png	ui/post_campaign_background/campaign_defeat_liu_hong.png	3k_dlc04_template_historical_emperor_ling_earth_faction_leader	3k_dlc04_frontend_leader_empress_he_ruler	3k_dlc04_empress_he_1	false
3k_dlc04_political_party_liu_bei_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	mh_faction_intro_all	767.0000	271.0000	vo_actor_hero_Liu_Bei_dlc04	7	ui/post_campaign_background/campaign_victory_liu_bei.png	ui/post_campaign_background/campaign_defeat_liu_bei.png	3k_main_template_historical_liu_bei_hero_earth_faction_leader	3k_main_frontend_leader_bundle_liu_bei_ruler	3k_dlc04_cao_cao_0	true
3k_dlc04_political_party_liu_biao_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	mh_faction_intro_all	587.0000	520.0000	vo_actor_general_Liu_Biao_dlc04	2	ui/post_campaign_background/campaign_victory_liu_biao.png	ui/post_campaign_background/campaign_defeat_liu_biao.png	3k_main_template_historical_liu_biao_hero_earth_faction_leader	3k_main_frontend_leader_bundle_liu_biao_ruler	3k_dlc04_cao_cao_0	false
3k_dlc04_political_party_lu_zhi_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	mh_faction_intro_all	711.0000	312.0000	vo_actor_general_Lu_Zhi	4	ui/post_campaign_background/campaign_victory_lu_zhi.png	ui/post_campaign_background/campaign_defeat_lu_zhi.png	3k_dlc04_template_historical_lu_zhi_hero_water_faction_leader	3k_dlc04_frontend_leader_lu_zhi_ruler	3k_dlc04_cao_cao_0	false
3k_dlc04_political_party_ma_teng_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	mh_faction_intro_all	332.0000	299.0000	vo_actor_general_Ma_Teng_182_dlc07	12	ui/post_campaign_background/campaign_victory_ma_teng.png	ui/post_campaign_background/campaign_defeat_ma_teng.png	3k_main_template_historical_ma_teng_hero_fire_faction_leader	3k_main_frontend_leader_bundle_ma_teng_ruler	3k_dlc04_cao_cao_0	false
3k_dlc04_political_party_prince_liu_chong_ruler		mh_faction_intro_all	ui/loading_ui/load_images/testSeason.png	3k_main_faction_intro_earth	694.0000	363.0000	vo_actor_general_Prince_Liu_Chong	1	ui/post_campaign_background/campaign_victory_liu_chong.png	ui/post_campaign_background/campaign_defeat_liu_chong.png	3k_main_template_historical_liu_chong_hero_earth_faction_leader	3k_dlc04_frontend_leader_prince_liu_chong_ruler	3k_dlc04_cao_cao_0	true
