key	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	sort_order	victory_screen_image	defeat_screen_image	frontend_character	faction_leader_effect_bundle	starting_progression_level	is_recommended
#frontend_faction_leaders_tables;32;db/frontend_faction_leaders_tables/gaogan														
ironic_main_gao_gan_faction_leader		3k_main_faction_intro_earth_yuan_shu	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_earth_yuan_shu	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_purple.png	ui/post_campaign_background/campaign_defeat_purple.png	3k_main_template_historical_gao_gan_hero_metal_faction_leader	3k_main_political_party_gao_gan_190	3k_dlc04_cao_cao_0	false
ironic_main_song_jian_faction_leader		3k_main_faction_intro_earth_yuan_shu	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_earth_yuan_shu	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_purple.png	ui/post_campaign_background/campaign_defeat_purple.png	3k_main_template_historical_song_jian_hero_metal_faction_leader	ironic_faction_leader_bundle_song_jian	3k_dlc04_cao_cao_0	false
ironic_main_han_sui_faction_leader		3k_main_faction_intro_earth_yuan_shu	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_earth_yuan_shu	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_purple.png	ui/post_campaign_background/campaign_defeat_purple.png	3k_main_template_historical_han_sui_hero_metal_faction_leader	ironic_faction_leader_bundle_han_sui	3k_dlc04_cao_cao_0	false
ironic_main_wuhuan_faction_leader		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_fire	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_template_historical_wuhuan_hero_fire_faction_leader	ironic_faction_leader_bundle_wuhuan	3k_dlc04_cao_cao_0	false
ironic_main_xiongnu_faction_leader		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_fire	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_template_historical_xiongnu_hero_earth_faction_leader	ironic_frontend_leader_xiongnu_bundle	3k_dlc04_cao_cao_0	false
ironic_main_sun_ce_faction_leader		3k_main_faction_intro_sun_jian	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	635.0000	594.0000	vo_actor_hero_Sun_Jian	2	ui/post_campaign_background/campaign_victory_sun_jian.png	ui/post_campaign_background/campaign_defeat_sunjian.png	3k_dlc05_template_historical_sun_ce_hero_fire_faction_leader	3k_dlc05_frontend_leader_bundle_sun_ce_ruler	3k_dlc04_cao_cao_0	false
3k_main_political_party_liu_yu_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_hero_Liu_Yu	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_liu_yu_190	3k_main_political_party_liu_yu_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_wang_kuang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_wang_kuang_190	3k_main_political_party_wang_kuang_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhang_yang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhang_yang_190	3k_main_political_party_zhang_yang_190	3k_dlc04_cao_cao_0	false
