character_generation_template	game_mode	death_distribution_curve	initial_ceos	retinue	min_rank	max_rank	experience_rank_effects	attribute_set	skill_set_override	initial_lives	undercover_character_chance_multiplier	is_deployable
#character_generation_template_game_mode_details_tables;9;db/character_generation_template_game_mode_details_tables/ironic_korea_uniques												
ironic_template_historical_heo_hwangok_hero_water	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_historical_heo_hwangok	ironic_general_korea_water	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_water_records	ironic_skillset_korea_minister_water_strategist_heo_hwangok	1	1.0000	true
ironic_template_historical_heo_hwangok_hero_water	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_historical_heo_hwangok	ironic_hero_korea_water	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_water_romance	ironic_skillset_korea_minister_water_strategist_heo_hwangok	1	1.0000	true
ironic_template_historical_kim_geodeung_hero_water	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_historical_kim_geodeung	ironic_general_korea_water	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_water_records	ironic_skillset_korea_minister_water_strategist_kim_geodeung	1	1.0000	true
ironic_template_historical_kim_geodeung_hero_water	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_historical_kim_geodeung	ironic_hero_korea_water	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_water_romance	ironic_skillset_korea_minister_water_strategist_kim_geodeung	1	1.0000	true
ironic_template_historical_tam_hari_hero_metal	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_historical_tam_hari	ironic_general_korea_metal	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_metal_records	ironic_skillset_korea_general_metal	1	1.0000	true
ironic_template_historical_tam_hari_hero_metal	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_historical_tam_hari	ironic_hero_korea_metal	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_metal_romance	ironic_skillset_korea_general_metal	1	1.0000	true
ironic_template_historical_hae_mayeo_hero_earth	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_historical_hae_mayeo	ironic_general_korea_earth	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_minister_earth	1	1.0000	true
ironic_template_historical_hae_mayeo_hero_earth	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_historical_hae_mayeo	ironic_hero_korea_earth	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_earth_romance	ironic_skillset_korea_minister_earth	1	1.0000	true
ironic_template_historical_woo_wigeo_hero_water	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_historical_woo_wigeo	ironic_general_korea_water	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_water_records	ironic_skillset_korea_minister_water_strategist	1	1.0000	true
