key	persistent_factors	default_factor	ai_ignored	minimum	maximum	overflow_behaviour	reset_policy	icon_path	ui_value_scale_factor	income_policy	shared
#pooled_resources_tables;10;db/pooled_resources_tables/data__											
3k_dlc04_pooled_resource_bureaucrats_influence	false	3k_dlc04_pooled_factor_bureaucrats_influence	false	0	90	DISCARD	END_OF_TURN	ui/skins/default/mh_political_parties_icon_eunuchs.png	1.0000	ECONOMICS_UPDATE	false
3k_dlc04_pooled_resource_displaced_population	false	3k_dlc04_pooled_factor_displaced_population	false	0	1000	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/3k_dlc04_pooled_resource_displaced_population.png	1000.0000	END_OF_ROUND	true
3k_dlc04_pooled_resource_dynasty_influence	false	3k_dlc04_pooled_factor_dynasty_influence	false	0	60	DISCARD	END_OF_TURN	ui/skins/default/mh_political_parties_icon_empress.png	1.0000	ECONOMICS_UPDATE	false
3k_dlc04_pooled_resource_fervour	false	3k_dlc04_pooled_factor_fervour	false	0	600	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/3k_dlc04_pooled_resource_fervour.png	1.0000	END_OF_ROUND	true
3k_dlc04_pooled_resource_fervour_regional	false	3k_dlc04_pooled_factor_fervour_regional	false	0	100	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/3k_dlc04_pooled_resource_fervour_regional.png	1.0000	END_OF_ROUND	false
3k_dlc04_pooled_resource_fortitude	false	3k_dlc04_pooled_factor_fortitude	false	0	200	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_heroism.png	1.0000	END_OF_ROUND	false
3k_dlc04_pooled_resource_liu_biao_domain	false	3k_dlc04_factor_domain	false	-2147483647	2147483647	DISCARD	END_OF_TURN	UI/Campaign UI/Effect_Bundles/regional_faction_support.png	1.0000	ECONOMICS_UPDATE	false
3k_dlc04_pooled_resource_liu_biao_governance	false	3k_dlc04_pooled_factor_governance	false	0	1000	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_runan_specialisation.png	1.0000	END_OF_ROUND	false
3k_dlc04_pooled_resource_political_influence	false	3k_dlc04_pooled_factor_political_influence	false	0	800	DISCARD	NONE	UI\Campaign UI\Effect_Bundles\mh_political_influence.png	1.0000	END_OF_ROUND	false
3k_dlc04_pooled_resource_warlords_influence	false	3k_dlc04_pooled_factor_warlords_influence	false	0	60	DISCARD	END_OF_TURN	ui/skins/default/mh_political_parties_icon_warlords.png	1.0000	ECONOMICS_UPDATE	false
3k_dlc05_pooled_resource_lu_bu_momentum	false	3k_dlc05_pooled_factor_momentum_characters_defeated	false	0	10	DISCARD	NONE	ui/skins/default/dlc_05_ph_lu_bu_pooled_resource.png	1.0000	END_OF_ROUND	false
