key	playable	effect_bundle	initial_power
#political_parties_tables;6;db/political_parties_tables/gaogan			
3k_main_political_party_gao_gan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_song_jian_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_han_sui_190	true	effect_Bundle_spies	60
3k_main_political_party_wuhuan_190	true	ironic_wuhuan_units_limited	60
3k_main_political_party_xiongnu_190	true	ironic_xiongnu_units_limited	60
3k_main_political_party_sun_ce_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_liu_yu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_wang_kuang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhang_yang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_yang_feng_190	true	ironic_white_wave_units_limited	60
3k_main_political_party_gongsun_du_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_liu_dai_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_ying_shao_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_chen_gui_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_ze_rong_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhang_chao_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_chen_wen_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_bian_rang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_lu_kang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhang_lu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_jia_long_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_liu_yao_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_sheng_xian_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_wang_lang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhu_hao_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_hua_xin_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhuge_xuan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_liu_pan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhang_xian_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhang_jin_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_shi_huang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_huang_zu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_cai_mao_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_gan_ning_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_han_empire_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_kong_zhou_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_yt_generic_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhu_fu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_wu_ju_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_lai_gong_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_han_fu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_goguryeo_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_bakaja_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_shitla_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_lu_bu_190	true	3k_dlc05_lu_bu_faction_bundle	60
3k_main_political_party_xianbei_kuitou_190	true	ironic_xianbei_units_limited	60
3k_main_political_party_xianbei_tuoba_190	true	ironic_xianbei_units_limited	60
3k_main_political_party_di_tribes_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_ma_ai_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_huang_clan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_handan_shang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_wang_sheng_190	true	3k_main_dummy_effect_bundle	0
3k_main_political_party_tong_zhi_190	true	3k_main_dummy_effect_bundle	0
3k_main_political_party_faction_jiuzhen_190	true	3k_main_dummy_effect_bundle	60
