key	playable	effect_bundle	initial_power
#political_parties_tables;6;db/political_parties_tables/data__			
3k_dlc04_main_political_party_prince_liu_chong_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_main_political_party_prince_liu_chong_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_cao_cao_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_cao_cao_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_dong_zhuo_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_dong_zhuo_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_empress_he_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_empress_he_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_liu_bei_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_liu_bei_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_liu_biao_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_liu_biao_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_lu_zhi_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_lu_zhi_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_ma_teng_council	false	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_ma_teng_ruler	true	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_prince_liu_chong_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_prince_liu_chong_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_sun_jian_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_sun_jian_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_tao_qian_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_tao_qian_ruler	true	3k_main_effect_bundle_tao_qian_bonus_income	60
3k_dlc04_political_party_zhang_bao_council	false	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_zhang_bao_ruler	true	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_zhang_jue_council	false	3k_main_dummy_effect_bundle	60
3k_dlc04_political_party_zhang_jue_ruler	true	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_zhang_liang_council	false	3k_main_dummy_effect_bundle	40
3k_dlc04_political_party_zhang_liang_ruler	true	3k_main_dummy_effect_bundle	60
3k_dlc05_political_party_190_white_tiger_yan_council	false	3k_main_dummy_effect_bundle	60
3k_dlc05_political_party_190_white_tiger_yan_ruler	true	3k_dlc05_white_tiger_faction_bundle	40
3k_dlc05_political_party_lu_bu_council	false	3k_main_dummy_effect_bundle	40
3k_dlc05_political_party_lu_bu_ruler	true	3k_dlc05_lu_bu_faction_bundle	60
3k_dlc05_political_party_sun_ce_council	false	3k_main_dummy_effect_bundle	40
3k_dlc05_political_party_sun_ce_ruler	true	3k_dlc05_sun_ce_faction_bundle	60
3k_dlc05_political_party_white_tiger_yan_council	false	3k_main_dummy_effect_bundle	40
3k_dlc05_political_party_white_tiger_yan_ruler	true	3k_dlc05_white_tiger_faction_bundle	60
3k_dlc05_political_party_zhang_yan_council	false	3k_main_dummy_effect_bundle	40
3k_dlc05_political_party_zhang_yan_ruler	true	3k_dlc05_zhang_yan_faction_bundle	60
3k_dlc06_political_party_nanman_ahuinan_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_ahuinan_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_dongtuna_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_dongtuna_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_jiangyang_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_jiangyang_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_jianning_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_jianning_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_jiaozhi_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_jiaozhi_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_jinhuansanjie_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_jinhuansanjie_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_king_duosi_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_king_duosi_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_king_mulu_ruler	true	3k_dlc06_king_mulu_faction_bundle	60
3k_dlc06_political_party_nanman_king_mulu_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_king_shamoke_ruler	true	3k_dlc06_king_shamoke_faction_bundle	60
3k_dlc06_political_party_nanman_king_shamoke_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_king_wutugu_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_king_wutugu_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_lady_zhurong_ruler	true	3k_dlc06_lady_zhurong_faction_bundle	60
3k_dlc06_political_party_nanman_lady_zhurong_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_mangyachang_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_mangyachang_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_meng_huo_ruler	true	3k_dlc06_effect_bundle_meng_huo_faction_bundle	60
3k_dlc06_political_party_nanman_meng_huo_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_rebels_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_tu_an_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_tu_an_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_xi_ni_ruler	false	3k_main_dummy_effect_bundle	60
